race,SEN18D,SEN18R,SEN18None
WVAP,0.289 (0.2626-0.3153),0.2733 (0.2664-0.2786),0.4377 (0.4125-0.4634)
OVAP,0.3497 (0.2635-0.4366),0.0481 (0.0274-0.0765),0.6022 (0.518-0.6831)
