race,EL16G_GV_D,EL16G_GV_R,GOV16None
BVAP,0.5427 (0.5215-0.5634),0.0325 (0.0274-0.0379),0.4248 (0.4052-0.446)
OVAP,0.2643 (0.2588-0.2699),0.3771 (0.3757-0.3784),0.3586 (0.3528-0.3642)
