race,EL14G_US_1,EL14G_USS_,SEN14None
BVAP,0.357 (0.3464-0.3673),0.0079 (0.0065-0.0094),0.6351 (0.6248-0.6458)
WVAP,0.1537 (0.1491-0.1581),0.268 (0.2666-0.2692),0.5783 (0.5735-0.5834)
HVAP,0.0243 (0.0135-0.0399),0.0066 (0.0043-0.0109),0.9692 (0.9503-0.9811)
OVAP,0.2369 (0.1569-0.3203),0.0396 (0.0254-0.0577),0.7235 (0.629-0.8138)
