race,EL16G_PR_D,EL16G_PR_R,PRES16None
BVAP,0.5412 (0.5212-0.5598),0.0258 (0.0216-0.0305),0.433 (0.4144-0.453)
WVAP,0.2189 (0.2139-0.2253),0.4339 (0.4315-0.4362),0.3472 (0.3413-0.3522)
HVAP,0.2882 (0.2505-0.3427),0.11 (0.0926-0.1273),0.6018 (0.5486-0.6425)
OVAP,0.6503 (0.5955-0.7163),0.1111 (0.0927-0.1295),0.2385 (0.1858-0.2847)
