race,EL16G_PR_D,EL16G_PR_R,PRES16None
BVAP,0.5767 (0.559-0.5947),0.0244 (0.0205-0.0289),0.3989 (0.3806-0.4165)
OVAP,0.2348 (0.2298-0.2398),0.3856 (0.3843-0.3866),0.3796 (0.3746-0.3847)
