race,EL16G_US_1,EL16G_USS_,SEN16None
BVAP,0.5686 (0.5497-0.5874),0.0269 (0.0225-0.0316),0.4046 (0.386-0.423)
OVAP,0.227 (0.2218-0.2323),0.3921 (0.3908-0.3933),0.3809 (0.3757-0.386)
