race,EL12G_PR_D,EL12G_PR_R,PRES12None
BVAP,0.6358 (0.6215-0.6498),0.0124 (0.0103-0.0149),0.3518 (0.3377-0.3658)
OVAP,0.2158 (0.2118-0.2198),0.3736 (0.3728-0.3743),0.4106 (0.4065-0.4146)
