race,EL12G_GV_D,EL12G_GV_R,GOV12None
BVAP,0.6286 (0.6154-0.6415),0.0113 (0.0095-0.0134),0.3601 (0.3476-0.3733)
OVAP,0.1739 (0.1705-0.1776),0.4058 (0.4049-0.4065),0.4203 (0.4166-0.4239)
