race,EL14G_US_1,EL14G_USS_,SEN14None
BVAP,0.352 (0.3416-0.3621),0.0067 (0.0056-0.0081),0.6413 (0.6311-0.6518)
OVAP,0.1477 (0.1447-0.1507),0.2328 (0.2323-0.2333),0.6195 (0.6164-0.6224)
