race,EL12G_GV_D,EL12G_GV_R,GOV12None
BVAP,0.6181 (0.6044-0.6312),0.0138 (0.0114-0.0166),0.3681 (0.3552-0.3817)
WVAP,0.1604 (0.156-0.1649),0.4682 (0.4657-0.4703),0.3714 (0.3667-0.3759)
HVAP,0.0916 (0.0598-0.1334),0.0401 (0.0283-0.0542),0.8683 (0.8274-0.9023)
OVAP,0.5885 (0.5339-0.6372),0.0883 (0.068-0.1125),0.3232 (0.2745-0.3788)
