,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN16PD_CV,SEN16PD_DE,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN16PDNone,SEN16PD_CV_pct,SEN16PD_DE_pct,SEN16PDNone_pct
218,Allegany,1719,Allegany Precinct 29-002,1637,22,11,143,56,49,1719,1,0.9522978475858057,0.012798138452588714,0.006399069226294357,0.028504944735311226,1520,0.08318789994182664,0.03257707969749855,0.8842350203606748
219,Allegany,3235,Allegany Precinct 06-006,1942,1234,25,78,47,34,3235,1,0.6003091190108192,0.3814528593508501,0.0077279752704791345,0.010510046367851623,3110,0.0241112828438949,0.014528593508500772,0.9613601236476044
220,Allegany,1207,Allegany Precinct 06-005,1034,57,22,102,53,94,1207,1,0.8566694283347142,0.04722452361226181,0.018227009113504555,0.07787903893951947,1052,0.08450704225352113,0.043910521955260975,0.8715824357912179
221,Allegany,800,Allegany Precinct 06-003,740,38,6,48,33,16,800,1,0.925,0.0475,0.0075,0.02,719,0.06,0.04125,0.89875
222,Allegany,1902,Allegany Precinct 29-001,1833,19,15,136,63,35,1902,1,0.9637223974763407,0.009989484752891693,0.007886435331230283,0.01840168243953733,1703,0.07150368033648791,0.033123028391167195,0.8953732912723449
223,Allegany,1522,Allegany Precinct 06-001,1409,71,15,123,66,27,1522,1,0.9257555847568988,0.04664914586070959,0.00985545335085414,0.017739816031537452,1333,0.08081471747700394,0.04336399474375821,0.8758212877792378
224,Allegany,1679,Allegany Precinct 20-000,1648,4,11,65,27,16,1679,1,0.9815366289458011,0.0023823704586063135,0.006551518761167362,0.009529481834425254,1587,0.03871351995235259,0.016081000595592615,0.9452054794520548
225,Allegany,928,Allegany Precinct 04-005,911,9,1,50,29,7,928,1,0.9816810344827587,0.009698275862068966,0.0010775862068965517,0.007543103448275862,849,0.05387931034482758,0.03125,0.9148706896551724
226,Allegany,1457,Allegany Precinct 04-003,1352,61,12,87,42,32,1457,1,0.9279341111873713,0.041866849691146193,0.008236101578586136,0.02196293754289636,1328,0.05971173644474949,0.028826355525051476,0.911461908030199
227,Allegany,1118,Allegany Precinct 04-002,951,120,10,34,16,37,1118,1,0.8506261180679785,0.1073345259391771,0.008944543828264758,0.03309481216457961,1068,0.03041144901610018,0.014311270125223614,0.9552772808586762
228,Allegany,1603,Allegany Precinct 04-008,1511,65,6,91,58,21,1603,1,0.9426076107298814,0.040548970679975045,0.0037429819089207735,0.013100436681222707,1454,0.056768558951965066,0.03618215845290081,0.9070492825951342
229,Allegany,1425,Allegany Precinct 04-004,1355,36,10,122,57,24,1425,1,0.9508771929824561,0.02526315789473684,0.007017543859649123,0.016842105263157894,1246,0.0856140350877193,0.04,0.8743859649122807
230,Allegany,856,Allegany Precinct 14-000,766,52,19,38,13,19,856,1,0.8948598130841121,0.06074766355140187,0.02219626168224299,0.02219626168224299,805,0.04439252336448598,0.015186915887850467,0.9404205607476636
231,Allegany,1491,Allegany Precinct 05-004,1387,66,10,90,41,28,1491,1,0.9302481556002683,0.04426559356136821,0.00670690811535882,0.018779342723004695,1360,0.060362173038229376,0.02749832327297116,0.9121395036887995
232,Allegany,2358,Allegany Precinct 23-000,2120,171,17,151,83,50,2358,1,0.899067005937235,0.07251908396946564,0.00720949957591179,0.021204410517387615,2124,0.0640373197625106,0.035199321458863446,0.9007633587786259
233,Allegany,624,Allegany Precinct 05-006,619,3,0,31,18,2,624,1,0.9919871794871795,0.004807692307692308,0.0,0.003205128205128205,575,0.049679487179487176,0.028846153846153848,0.9214743589743589
234,Allegany,2552,Allegany Precinct 22-001,2173,297,35,96,50,47,2552,1,0.8514890282131662,0.11637931034482758,0.01371473354231975,0.01841692789968652,2406,0.03761755485893417,0.019592476489028215,0.9427899686520376
235,Allegany,3185,Allegany Precinct 16-000,1973,833,346,73,41,33,3185,1,0.6194662480376766,0.26153846153846155,0.10863422291993721,0.010361067503924647,3071,0.02291993720565149,0.012872841444270016,0.9642072213500785
236,Allegany,1346,Allegany Precinct 34-000,1324,4,6,113,48,12,1346,1,0.9836552748885586,0.0029717682020802376,0.004457652303120356,0.008915304606240713,1185,0.08395245170876671,0.03566121842496285,0.8803863298662704
237,Allegany,956,Allegany Precinct 21-000,934,3,4,58,24,15,956,1,0.9769874476987448,0.0031380753138075313,0.0041841004184100415,0.015690376569037656,874,0.060669456066945605,0.02510460251046025,0.9142259414225942
238,Allegany,944,Allegany Precinct 02-000,924,4,8,28,16,8,944,1,0.9788135593220338,0.00423728813559322,0.00847457627118644,0.00847457627118644,900,0.029661016949152543,0.01694915254237288,0.9533898305084746
239,Allegany,852,Allegany Precinct 03-000,839,2,3,26,14,8,852,1,0.9847417840375586,0.002347417840375587,0.0035211267605633804,0.009389671361502348,812,0.03051643192488263,0.01643192488262911,0.9530516431924883
240,Allegany,746,Allegany Precinct 01-000,734,4,3,33,14,5,746,1,0.9839142091152815,0.005361930294906166,0.004021447721179625,0.006702412868632708,699,0.04423592493297587,0.01876675603217158,0.9369973190348525
265,Allegany,2806,Allegany Precinct 08-000,2755,17,13,105,63,21,2806,1,0.9818246614397719,0.0060584461867426945,0.004632929436920884,0.007483962936564505,2638,0.03741981468282252,0.022451888809693513,0.940128296507484
266,Allegany,1114,Allegany Precinct 09-000,1103,0,1,20,23,10,1114,1,0.9901256732495511,0.0,0.0008976660682226212,0.008976660682226212,1071,0.017953321364452424,0.02064631956912029,0.9614003590664273
267,Allegany,1650,Allegany Precinct 10-000,1628,5,5,44,24,12,1650,1,0.9866666666666667,0.0030303030303030303,0.0030303030303030303,0.007272727272727273,1582,0.02666666666666667,0.014545454545454545,0.9587878787878787
268,Allegany,1273,Allegany Precinct 31-000,1251,4,3,49,33,15,1273,1,0.9827179890023566,0.003142183817753339,0.002356637863315004,0.01178318931657502,1191,0.0384917517674784,0.025923016496465043,0.9355852317360566
273,Allegany,1685,Allegany Precinct 18-000,1660,3,7,59,32,15,1685,1,0.9851632047477745,0.0017804154302670622,0.004154302670623145,0.008902077151335312,1594,0.035014836795252226,0.018991097922848664,0.9459940652818991
274,Allegany,4960,Allegany Precinct 26-000,3677,968,114,169,101,201,4960,1,0.7413306451612903,0.19516129032258064,0.022983870967741935,0.0405241935483871,4690,0.03407258064516129,0.02036290322580645,0.9455645161290323
275,Allegany,1016,Allegany Precinct 11-000,971,17,12,85,38,16,1016,1,0.9557086614173228,0.01673228346456693,0.011811023622047244,0.015748031496062992,893,0.08366141732283465,0.03740157480314961,0.8789370078740157
276,Allegany,2829,Allegany Precinct 12-000,2623,113,38,155,89,55,2829,1,0.9271827500883705,0.039943442912689996,0.01343230823612584,0.019441498762813716,2585,0.05478967833156592,0.031459879816189466,0.9137504418522446
277,Allegany,1572,Allegany Precinct 24-000,1544,8,7,69,36,13,1572,1,0.9821882951653944,0.005089058524173028,0.004452926208651399,0.00826972010178117,1467,0.04389312977099236,0.022900763358778626,0.933206106870229
278,Allegany,1653,Allegany Precinct 07-002,1584,18,15,109,52,36,1653,1,0.9582577132486388,0.010889292196007259,0.009074410163339383,0.021778584392014518,1492,0.06594071385359952,0.03145795523290986,0.9026013309134906
