,County,VAP,BVAP,EL12G_PR_D,EL12G_PR_R,OVAP,TOT_VOTES,factor,BVAP_pct,OVAP_pct,PRES12None,EL12G_PR_D_pct,EL12G_PR_R_pct,PRES12None_pct
0,37001,1505,338,351,324,1167,1505,1.0,0.2245847176079734,0.7754152823920266,830,0.23322259136212625,0.21528239202657806,0.5514950166112956
1,37001,2503,712,594,344,1791,2503,1.0,0.2844586496204555,0.7155413503795446,1565,0.2373152217339193,0.1374350779065122,0.6252497003595685
2,37001,2156,243,650,736,1913,2156,1.0,0.11270871985157699,0.887291280148423,770,0.3014842300556586,0.34137291280148424,0.35714285714285715
3,37001,3167,1027,941,432,2140,3167,1.0,0.3242816545626776,0.6757183454373223,1794,0.29712661825071046,0.13640669403220715,0.5664666877170824
4,37001,1713,50,476,965,1663,1713,1.0,0.02918855808523059,0.9708114419147694,272,0.2778750729713952,0.5633391710449503,0.1587857559836544
5,37001,1948,276,543,723,1672,1948,1.0,0.14168377823408623,0.8583162217659137,682,0.27874743326488705,0.3711498973305955,0.35010266940451745
6,37001,2127,494,550,549,1633,2127,1.0,0.23225199811941702,0.767748001880583,1028,0.25858015984955335,0.25811001410437234,0.4833098260460743
7,37001,4955,350,1143,1618,4605,4955,1.0,0.07063572149344097,0.929364278506559,2194,0.2306760847628658,0.3265388496468214,0.44278506559031283
8,37001,3483,81,429,1936,3402,3483,1.0,0.023255813953488372,0.9767441860465116,1118,0.1231696813092162,0.5558426643697961,0.32098765432098764
9,37001,2371,578,753,683,1793,2371,1.0,0.24377899620413326,0.7562210037958668,935,0.31758751581611133,0.2880641079713201,0.3943483762125685
10,37001,3130,469,667,1147,2661,3130,1.0,0.14984025559105432,0.8501597444089457,1316,0.21309904153354634,0.3664536741214057,0.4204472843450479
11,37001,3498,1037,987,570,2461,3498,1.0,0.2964551172098342,0.7035448827901658,1941,0.28216123499142365,0.16295025728987994,0.5548885077186964
12,37001,4530,2457,2009,275,2073,4530,1.0,0.5423841059602649,0.45761589403973507,2246,0.4434878587196468,0.06070640176600441,0.4958057395143488
13,37001,3686,257,488,1661,3429,3686,1.0,0.06972327726532827,0.9302767227346718,1537,0.13239283776451438,0.45062398263700487,0.41698317959848075
14,37001,2197,201,483,899,1996,2197,1.0,0.09148839326354119,0.9085116067364588,815,0.21984524351388257,0.4091943559399181,0.3709604005461994
15,37001,1630,141,339,755,1489,1630,1.0,0.08650306748466258,0.9134969325153375,536,0.20797546012269938,0.46319018404907975,0.32883435582822085
16,37001,5580,729,1380,2088,4851,5580,1.0,0.13064516129032258,0.8693548387096774,2112,0.24731182795698925,0.3741935483870968,0.37849462365591396
17,37001,1694,70,283,685,1624,1694,1.0,0.04132231404958678,0.9586776859504132,726,0.16706021251475797,0.40436835891381345,0.42857142857142855
18,37001,3476,1342,1280,880,2134,3476,1.0,0.3860759493670886,0.6139240506329114,1316,0.36823935558112775,0.25316455696202533,0.378596087456847
19,37001,5931,1310,2098,2045,4621,5931,1.0,0.2208733771707975,0.7791266228292025,1788,0.3537346147361322,0.34479851627044344,0.3014668689934244
20,37001,3118,255,643,1117,2863,3118,1.0,0.081783194355356,0.918216805644644,1358,0.2062219371391918,0.35824246311738295,0.43553559974342526
21,37001,4345,476,924,1731,3869,4345,1.0,0.1095512082853855,0.8904487917146146,1690,0.21265822784810126,0.39838895281933256,0.38895281933256615
22,37001,2757,951,794,336,1806,2757,1.0,0.34494015233949943,0.6550598476605005,1627,0.2879941965904969,0.12187159956474429,0.5901342038447588
23,37001,2408,198,568,1125,2210,2408,1.0,0.08222591362126246,0.9177740863787376,715,0.23588039867109634,0.46719269102990035,0.2969269102990033
24,37001,3146,267,559,1195,2879,3146,1.0,0.08486967577876668,0.9151303242212333,1392,0.17768595041322313,0.37984742530197074,0.4424666242848061
25,37001,4661,519,1078,1666,4142,4661,1.0,0.11134949581634843,0.8886505041836515,1917,0.23128084102124008,0.35743402703282556,0.41128513194593436
26,37001,3292,503,950,1459,2789,3292,1.0,0.15279465370595383,0.8472053462940462,883,0.2885783718104496,0.4431956257594168,0.26822600243013367
27,37001,3307,149,425,1593,3158,3307,1.0,0.04505594194133656,0.9549440580586634,1289,0.12851527063804052,0.4817054732385848,0.38977925612337466
28,37001,1860,602,534,215,1258,1860,1.0,0.32365591397849464,0.6763440860215054,1111,0.2870967741935484,0.11559139784946236,0.5973118279569892
29,37001,2681,152,365,1358,2529,2681,1.0,0.0566952629615815,0.9433047370384186,958,0.1361432301380082,0.5065274151436031,0.35732935471838867
30,37001,4070,1178,1145,995,2892,4070,1.0,0.28943488943488943,0.7105651105651105,1930,0.28132678132678135,0.24447174447174447,0.4742014742014742
31,37001,5660,421,832,1437,5239,5660,1.0,0.07438162544169612,0.9256183745583039,3391,0.1469964664310954,0.253886925795053,0.5991166077738516
32,37001,4194,420,627,1951,3774,4194,1.0,0.10014306151645208,0.899856938483548,1616,0.14949928469241774,0.4651883643299952,0.38531235097758704
33,37001,2153,148,526,1318,2005,2153,1.0,0.06874129122155133,0.9312587087784486,309,0.24431026474686485,0.6121690664189503,0.14352066883418485
34,37001,1834,329,479,763,1505,1834,1.0,0.17938931297709923,0.8206106870229007,592,0.2611777535441658,0.41603053435114506,0.3227917121046892
35,37001,4922,2325,1982,596,2597,4922,1.0,0.47236895570906134,0.5276310442909387,2344,0.4026818366517676,0.12108898821617228,0.47622917513206015
36,37003,2871,14,455,1596,2857,2871,1.0,0.004876349703935911,0.9951236502960641,820,0.1584813653779171,0.5559038662486938,0.28561476837338906
37,37003,3528,24,548,1699,3504,3528,1.0,0.006802721088435374,0.9931972789115646,1281,0.15532879818594103,0.4815759637188209,0.3630952380952381
