,County,VAP,BVAP,EL16G_US_1,EL16G_USS_,OVAP,TOT_VOTES,factor,BVAP_pct,OVAP_pct,SEN16None,EL16G_US_1_pct,EL16G_USS__pct,SEN16None_pct
0,37001,1505,338,329,273,1167,1505,1.0,0.2245847176079734,0.7754152823920266,903,0.2186046511627907,0.1813953488372093,0.6
1,37001,2503,712,543,308,1791,2503,1.0,0.2844586496204555,0.7155413503795446,1652,0.21693967239312825,0.12305233719536555,0.6600079904115062
2,37001,2156,243,695,640,1913,2156,1.0,0.11270871985157699,0.887291280148423,821,0.32235621521335805,0.29684601113172543,0.3807977736549165
3,37001,3167,1027,821,420,2140,3167,1.0,0.3242816545626776,0.6757183454373223,1926,0.25923586990843067,0.13261761919797915,0.6081465108935902
4,37001,1713,50,506,886,1663,1713,1.0,0.02918855808523059,0.9708114419147694,321,0.29538820782253356,0.517221249270286,0.18739054290718038
5,37001,1948,276,518,695,1672,1948,1.0,0.14168377823408623,0.8583162217659137,735,0.26591375770020537,0.3567761806981519,0.3773100616016427
6,37001,2127,494,596,587,1633,2127,1.0,0.23225199811941702,0.767748001880583,944,0.28020686412787965,0.2759755524212506,0.44381758345086975
7,37001,4955,350,1244,1482,4605,4955,1.0,0.07063572149344097,0.929364278506559,2229,0.2510595358224016,0.29909182643794147,0.4498486377396569
8,37001,3483,81,396,1973,3402,3483,1.0,0.023255813953488372,0.9767441860465116,1114,0.11369509043927649,0.5664656904966983,0.3198392190640253
9,37001,2371,578,728,680,1793,2371,1.0,0.24377899620413326,0.7562210037958668,963,0.30704344158582875,0.2867988190636862,0.40615773935048505
10,37001,3130,469,700,1179,2661,3130,1.0,0.14984025559105432,0.8501597444089457,1251,0.22364217252396165,0.3766773162939297,0.3996805111821086
11,37001,3498,1037,964,530,2461,3498,1.0,0.2964551172098342,0.7035448827901658,2004,0.2755860491709548,0.15151515151515152,0.5728987993138936
12,37001,4530,2457,1721,294,2073,4530,1.0,0.5423841059602649,0.45761589403973507,2515,0.37991169977924943,0.06490066225165562,0.5551876379690949
13,37001,3686,257,418,1829,3429,3686,1.0,0.06972327726532827,0.9302767227346718,1439,0.1134020618556701,0.49620184481823115,0.39039609332609876
14,37001,2197,201,510,869,1996,2197,1.0,0.09148839326354119,0.9085116067364588,818,0.2321347291761493,0.3955393718707328,0.3723258989531179
15,37001,1630,141,356,781,1489,1630,1.0,0.08650306748466258,0.9134969325153375,493,0.2184049079754601,0.47914110429447854,0.3024539877300613
16,37001,5580,729,1699,2165,4851,5580,1.0,0.13064516129032258,0.8693548387096774,1716,0.30448028673835126,0.38799283154121866,0.30752688172043013
17,37001,1694,70,286,723,1624,1694,1.0,0.04132231404958678,0.9586776859504132,685,0.16883116883116883,0.4268004722550177,0.40436835891381345
18,37001,3476,1342,1132,1017,2134,3476,1.0,0.3860759493670886,0.6139240506329114,1327,0.3256616800920598,0.2925776754890679,0.38176064441887225
19,37001,5931,1310,2379,2337,4621,5931,1.0,0.2208733771707975,0.7791266228292025,1215,0.4011127971674254,0.39403136064744565,0.20485584218512898
20,37001,3118,255,643,1194,2863,3118,1.0,0.081783194355356,0.918216805644644,1281,0.2062219371391918,0.38293778062860806,0.41084028223220015
21,37001,4345,476,1036,1805,3869,4345,1.0,0.1095512082853855,0.8904487917146146,1504,0.2384349827387802,0.4154200230149597,0.34614499424626005
22,37001,2757,951,752,344,1806,2757,1.0,0.34494015233949943,0.6550598476605005,1661,0.2727602466449039,0.12477330431628582,0.6024664490388103
23,37001,2408,198,632,1233,2210,2408,1.0,0.08222591362126246,0.9177740863787376,543,0.26245847176079734,0.5120431893687708,0.22549833887043189
24,37001,3146,267,581,1309,2879,3146,1.0,0.08486967577876668,0.9151303242212333,1256,0.18467895740623014,0.4160839160839161,0.39923712650985377
25,37001,4661,519,1080,1746,4142,4661,1.0,0.11134949581634843,0.8886505041836515,1835,0.23170993349066724,0.374597725809912,0.3936923406994207
26,37001,3292,503,916,1509,2789,3292,1.0,0.15279465370595383,0.8472053462940462,867,0.2782503037667072,0.4583839611178615,0.2633657351154314
27,37001,3307,149,436,1655,3158,3307,1.0,0.04505594194133656,0.9549440580586634,1216,0.1318415482310251,0.5004535833081343,0.36770486846084066
28,37001,1860,602,483,192,1258,1860,1.0,0.32365591397849464,0.6763440860215054,1185,0.25967741935483873,0.1032258064516129,0.6370967741935484
29,37001,2681,152,320,1430,2529,2681,1.0,0.0566952629615815,0.9433047370384186,931,0.11935844834017158,0.5333830660201417,0.3472584856396867
30,37001,4070,1178,1014,1030,2892,4070,1.0,0.28943488943488943,0.7105651105651105,2026,0.24914004914004914,0.25307125307125306,0.4977886977886978
31,37001,5660,421,926,1532,5239,5660,1.0,0.07438162544169612,0.9256183745583039,3202,0.16360424028268553,0.2706713780918728,0.5657243816254417
32,37001,4194,420,570,2035,3774,4194,1.0,0.10014306151645208,0.899856938483548,1589,0.13590844062947066,0.48521697663328567,0.37887458273724367
33,37001,2153,148,597,1194,2005,2153,1.0,0.06874129122155133,0.9312587087784486,362,0.2772875058058523,0.5545750116117046,0.1681374825824431
34,37001,1834,329,545,865,1505,1834,1.0,0.17938931297709923,0.8206106870229007,424,0.29716466739367503,0.47164667393675025,0.2311886586695747
35,37001,4922,2325,1801,639,2597,4922,1.0,0.47236895570906134,0.5276310442909387,2482,0.3659081674116213,0.1298252742787485,0.5042665583096302
36,37003,2871,14,415,1600,2857,2871,1.0,0.004876349703935911,0.9951236502960641,856,0.14454893765238594,0.557297109021247,0.2981539533263671
