,County,VAP,BVAP,WVAP,HVAP,EL16G_US_1,EL16G_USS_,OVAP,TOT_VOTES,factor,BVAP_pct,WVAP_pct,HVAP_pct,OVAP_pct,SEN16None,EL16G_US_1_pct,EL16G_USS__pct,SEN16None_pct
0,37001,1505,338,899,211,329,273,57,1505,1.0,0.2245847176079734,0.59734219269103,0.14019933554817277,0.03787375415282392,903,0.2186046511627907,0.1813953488372093,0.6
1,37001,2503,712,1085,622,543,308,84,2503,1.0,0.2844586496204555,0.4334798242109469,0.24850179784258888,0.033559728326008786,1652,0.21693967239312825,0.12305233719536555,0.6600079904115062
2,37001,2156,243,1740,121,695,640,52,2156,1.0,0.11270871985157699,0.8070500927643784,0.05612244897959184,0.02411873840445269,821,0.32235621521335805,0.29684601113172543,0.3807977736549165
3,37001,3167,1027,1450,623,821,420,67,3167,1.0,0.3242816545626776,0.45784654246921375,0.1967161351436691,0.021155667824439534,1926,0.25923586990843067,0.13261761919797915,0.6081465108935902
4,37001,1713,50,1609,30,506,886,24,1713,1.0,0.02918855808523059,0.9392877991827204,0.017513134851138354,0.014010507880910683,321,0.29538820782253356,0.517221249270286,0.18739054290718038
5,37001,1948,276,1481,145,518,695,46,1948,1.0,0.14168377823408623,0.7602669404517454,0.07443531827515401,0.023613963039014373,735,0.26591375770020537,0.3567761806981519,0.3773100616016427
6,37001,2127,494,1404,145,596,587,84,2127,1.0,0.23225199811941702,0.6600846262341326,0.06817113305124589,0.039492242595204514,944,0.28020686412787965,0.2759755524212506,0.44381758345086975
7,37001,4955,350,4378,96,1244,1482,131,4955,1.0,0.07063572149344097,0.8835519677093845,0.019374369323915237,0.026437941473259334,2229,0.2510595358224016,0.29909182643794147,0.4498486377396569
8,37001,3483,81,3321,40,396,1973,41,3483,1.0,0.023255813953488372,0.9534883720930233,0.011484352569623888,0.011771461383864484,1114,0.11369509043927649,0.5664656904966983,0.3198392190640253
9,37001,2371,578,1542,196,728,680,55,2371,1.0,0.24377899620413326,0.6503584985238297,0.08266554196541544,0.023196963306621677,963,0.30704344158582875,0.2867988190636862,0.40615773935048505
10,37001,3130,469,2368,186,700,1179,107,3130,1.0,0.14984025559105432,0.7565495207667732,0.05942492012779553,0.034185303514377,1251,0.22364217252396165,0.3766773162939297,0.3996805111821086
11,37001,3498,1037,1449,940,964,530,72,3498,1.0,0.2964551172098342,0.4142367066895369,0.2687249857061178,0.02058319039451115,2004,0.2755860491709548,0.15151515151515152,0.5728987993138936
12,37001,4530,2457,1162,823,1721,294,88,4530,1.0,0.5423841059602649,0.2565121412803532,0.1816777041942605,0.019426048565121413,2515,0.37991169977924943,0.06490066225165562,0.5551876379690949
13,37001,3686,257,3309,79,418,1829,41,3686,1.0,0.06972327726532827,0.8977211068909386,0.021432447097124253,0.01112316874660879,1439,0.1134020618556701,0.49620184481823115,0.39039609332609876
14,37001,2197,201,1817,125,510,869,54,2197,1.0,0.09148839326354119,0.8270368684569868,0.05689576695493855,0.024578971324533454,818,0.2321347291761493,0.3955393718707328,0.3723258989531179
15,37001,1630,141,1359,71,356,781,59,1630,1.0,0.08650306748466258,0.8337423312883435,0.043558282208588955,0.03619631901840491,493,0.2184049079754601,0.47914110429447854,0.3024539877300613
16,37001,5580,729,4240,260,1699,2165,351,5580,1.0,0.13064516129032258,0.7598566308243727,0.04659498207885305,0.06290322580645161,1716,0.30448028673835126,0.38799283154121866,0.30752688172043013
17,37001,1694,70,1541,52,286,723,31,1694,1.0,0.04132231404958678,0.9096812278630461,0.030696576151121605,0.01829988193624557,685,0.16883116883116883,0.4268004722550177,0.40436835891381345
