,County,VAP,BVAP,WVAP,HVAP,EL12G_PR_D,EL12G_PR_R,OVAP,TOT_VOTES,factor,BVAP_pct,WVAP_pct,HVAP_pct,OVAP_pct,PRES12None,EL12G_PR_D_pct,EL12G_PR_R_pct,PRES12None_pct
0,37001,1505,338,899,211,351,324,57,1505,1.0,0.2245847176079734,0.59734219269103,0.14019933554817277,0.03787375415282392,830,0.23322259136212625,0.21528239202657806,0.5514950166112956
1,37001,2503,712,1085,622,594,344,84,2503,1.0,0.2844586496204555,0.4334798242109469,0.24850179784258888,0.033559728326008786,1565,0.2373152217339193,0.1374350779065122,0.6252497003595685
2,37001,2156,243,1740,121,650,736,52,2156,1.0,0.11270871985157699,0.8070500927643784,0.05612244897959184,0.02411873840445269,770,0.3014842300556586,0.34137291280148424,0.35714285714285715
3,37001,3167,1027,1450,623,941,432,67,3167,1.0,0.3242816545626776,0.45784654246921375,0.1967161351436691,0.021155667824439534,1794,0.29712661825071046,0.13640669403220715,0.5664666877170824
4,37001,1713,50,1609,30,476,965,24,1713,1.0,0.02918855808523059,0.9392877991827204,0.017513134851138354,0.014010507880910683,272,0.2778750729713952,0.5633391710449503,0.1587857559836544
5,37001,1948,276,1481,145,543,723,46,1948,1.0,0.14168377823408623,0.7602669404517454,0.07443531827515401,0.023613963039014373,682,0.27874743326488705,0.3711498973305955,0.35010266940451745
6,37001,2127,494,1404,145,550,549,84,2127,1.0,0.23225199811941702,0.6600846262341326,0.06817113305124589,0.039492242595204514,1028,0.25858015984955335,0.25811001410437234,0.4833098260460743
7,37001,4955,350,4378,96,1143,1618,131,4955,1.0,0.07063572149344097,0.8835519677093845,0.019374369323915237,0.026437941473259334,2194,0.2306760847628658,0.3265388496468214,0.44278506559031283
8,37001,3483,81,3321,40,429,1936,41,3483,1.0,0.023255813953488372,0.9534883720930233,0.011484352569623888,0.011771461383864484,1118,0.1231696813092162,0.5558426643697961,0.32098765432098764
9,37001,2371,578,1542,196,753,683,55,2371,1.0,0.24377899620413326,0.6503584985238297,0.08266554196541544,0.023196963306621677,935,0.31758751581611133,0.2880641079713201,0.3943483762125685
10,37001,3130,469,2368,186,667,1147,107,3130,1.0,0.14984025559105432,0.7565495207667732,0.05942492012779553,0.034185303514377,1316,0.21309904153354634,0.3664536741214057,0.4204472843450479
11,37001,3498,1037,1449,940,987,570,72,3498,1.0,0.2964551172098342,0.4142367066895369,0.2687249857061178,0.02058319039451115,1941,0.28216123499142365,0.16295025728987994,0.5548885077186964
12,37001,4530,2457,1162,823,2009,275,88,4530,1.0,0.5423841059602649,0.2565121412803532,0.1816777041942605,0.019426048565121413,2246,0.4434878587196468,0.06070640176600441,0.4958057395143488
13,37001,3686,257,3309,79,488,1661,41,3686,1.0,0.06972327726532827,0.8977211068909386,0.021432447097124253,0.01112316874660879,1537,0.13239283776451438,0.45062398263700487,0.41698317959848075
14,37001,2197,201,1817,125,483,899,54,2197,1.0,0.09148839326354119,0.8270368684569868,0.05689576695493855,0.024578971324533454,815,0.21984524351388257,0.4091943559399181,0.3709604005461994
15,37001,1630,141,1359,71,339,755,59,1630,1.0,0.08650306748466258,0.8337423312883435,0.043558282208588955,0.03619631901840491,536,0.20797546012269938,0.46319018404907975,0.32883435582822085
16,37001,5580,729,4240,260,1380,2088,351,5580,1.0,0.13064516129032258,0.7598566308243727,0.04659498207885305,0.06290322580645161,2112,0.24731182795698925,0.3741935483870968,0.37849462365591396
17,37001,1694,70,1541,52,283,685,31,1694,1.0,0.04132231404958678,0.9096812278630461,0.030696576151121605,0.01829988193624557,726,0.16706021251475797,0.40436835891381345,0.42857142857142855
18,37001,3476,1342,1836,220,1280,880,78,3476,1.0,0.3860759493670886,0.5281933256616801,0.06329113924050633,0.02243958573072497,1316,0.36823935558112775,0.25316455696202533,0.378596087456847
19,37001,5931,1310,4202,249,2098,2045,170,5931,1.0,0.2208733771707975,0.7084808632608329,0.041982802225594334,0.02866295734277525,1788,0.3537346147361322,0.34479851627044344,0.3014668689934244
20,37001,3118,255,2590,233,643,1117,40,3118,1.0,0.081783194355356,0.8306606799230276,0.07472738935214882,0.012828736369467608,1358,0.2062219371391918,0.35824246311738295,0.43553559974342526
21,37001,4345,476,3126,626,924,1731,117,4345,1.0,0.1095512082853855,0.7194476409666283,0.14407364787111623,0.026927502876869965,1690,0.21265822784810126,0.39838895281933256,0.38895281933256615
22,37001,2757,951,1223,480,794,336,103,2757,1.0,0.34494015233949943,0.4435981138919115,0.17410228509249184,0.03735944867609721,1627,0.2879941965904969,0.12187159956474429,0.5901342038447588
23,37001,2408,198,2080,72,568,1125,58,2408,1.0,0.08222591362126246,0.8637873754152824,0.029900332225913623,0.02408637873754153,715,0.23588039867109634,0.46719269102990035,0.2969269102990033
24,37001,3146,267,2486,335,559,1195,58,3146,1.0,0.08486967577876668,0.7902097902097902,0.10648442466624285,0.018436109345200253,1392,0.17768595041322313,0.37984742530197074,0.4424666242848061
25,37001,4661,519,3664,386,1078,1666,92,4661,1.0,0.11134949581634843,0.7860974039905599,0.08281484659944217,0.019738253593649432,1917,0.23128084102124008,0.35743402703282556,0.41128513194593436
26,37001,3292,503,2586,137,950,1459,66,3292,1.0,0.15279465370595383,0.7855407047387606,0.041616038882138516,0.020048602673147023,883,0.2885783718104496,0.4431956257594168,0.26822600243013367
27,37001,3307,149,3011,104,425,1593,43,3307,1.0,0.04505594194133656,0.9104928938615059,0.03144844269730874,0.013002721499848805,1289,0.12851527063804052,0.4817054732385848,0.38977925612337466
28,37001,1860,602,758,423,534,215,77,1860,1.0,0.32365591397849464,0.4075268817204301,0.22741935483870968,0.04139784946236559,1111,0.2870967741935484,0.11559139784946236,0.5973118279569892
29,37001,2681,152,2455,48,365,1358,26,2681,1.0,0.0566952629615815,0.9157030958597538,0.017903767251025736,0.00969787392763894,958,0.1361432301380082,0.5065274151436031,0.35732935471838867
30,37001,4070,1178,2311,521,1145,995,60,4070,1.0,0.28943488943488943,0.5678132678132678,0.12800982800982802,0.014742014742014743,1930,0.28132678132678135,0.24447174447174447,0.4742014742014742
