,County,VAP,BVAP,WVAP,HVAP,EL14G_US_1,EL14G_USS_,OVAP,TOT_VOTES,factor,BVAP_pct,WVAP_pct,HVAP_pct,OVAP_pct,SEN14None,EL14G_US_1_pct,EL14G_USS__pct,SEN14None_pct
0,37001,1505,338,899,211,182,181,57,1505,1,0.2245847176079734,0.59734219269103,0.14019933554817277,0.03787375415282392,1142,0.12093023255813953,0.12026578073089701,0.7588039867109635
1,37001,2503,712,1085,622,271,180,84,2503,1,0.2844586496204555,0.4334798242109469,0.24850179784258888,0.033559728326008786,2052,0.1082700759089093,0.07191370355573312,0.8198162205353575
2,37001,2156,243,1740,121,481,457,52,2156,1,0.11270871985157699,0.8070500927643784,0.05612244897959184,0.02411873840445269,1218,0.2230983302411874,0.21196660482374768,0.564935064935065
3,37001,3167,1027,1450,623,466,231,67,3167,1,0.3242816545626776,0.45784654246921375,0.1967161351436691,0.021155667824439534,2470,0.14714240606251974,0.07293969055888853,0.7799179033785917
4,37001,1713,50,1609,30,416,670,24,1713,1,0.02918855808523059,0.9392877991827204,0.017513134851138354,0.014010507880910683,627,0.2428488032691185,0.3911266783420899,0.3660245183887916
5,37001,1948,276,1481,145,391,491,46,1948,1,0.14168377823408623,0.7602669404517454,0.07443531827515401,0.023613963039014373,1066,0.20071868583162217,0.25205338809034905,0.5472279260780287
6,37001,2127,494,1404,145,309,358,84,2127,1,0.23225199811941702,0.6600846262341326,0.06817113305124589,0.039492242595204514,1460,0.14527503526093088,0.16831217677480018,0.686412787964269
7,37001,4955,350,4378,96,853,1063,131,4955,1,0.07063572149344097,0.8835519677093845,0.019374369323915237,0.026437941473259334,3039,0.17214934409687185,0.21453077699293643,0.6133198789101917
8,37001,3483,81,3321,40,313,1246,41,3483,1,0.023255813953488372,0.9534883720930233,0.011484352569623888,0.011771461383864484,1924,0.08986505885730692,0.35773758254378407,0.552397358598909
9,37001,2371,578,1542,196,432,423,55,2371,1,0.24377899620413326,0.6503584985238297,0.08266554196541544,0.023196963306621677,1516,0.182201602699283,0.17840573597638126,0.6393926613243357
10,37001,3130,469,2368,186,418,695,107,3130,1,0.14984025559105432,0.7565495207667732,0.05942492012779553,0.034185303514377,2017,0.13354632587859425,0.2220447284345048,0.644408945686901
11,37001,3498,1037,1449,940,549,354,72,3498,1,0.2964551172098342,0.4142367066895369,0.2687249857061178,0.02058319039451115,2595,0.1569468267581475,0.10120068610634649,0.741852487135506
12,37001,4530,2457,1162,823,1163,129,88,4530,1,0.5423841059602649,0.2565121412803532,0.1816777041942605,0.019426048565121413,3238,0.2567328918322296,0.02847682119205298,0.7147902869757174
13,37001,3686,257,3309,79,295,1071,41,3686,1,0.06972327726532827,0.8977211068909386,0.021432447097124253,0.01112316874660879,2320,0.08003255561584373,0.29055887140531744,0.6294085729788389
14,37001,2197,201,1817,125,325,595,54,2197,1,0.09148839326354119,0.8270368684569868,0.05689576695493855,0.024578971324533454,1277,0.14792899408284024,0.2708238507055075,0.5812471552116523
15,37001,1630,141,1359,71,253,535,59,1630,1,0.08650306748466258,0.8337423312883435,0.043558282208588955,0.03619631901840491,842,0.15521472392638036,0.3282208588957055,0.5165644171779141
16,37001,5580,729,4240,260,906,1388,351,5580,1,0.13064516129032258,0.7598566308243727,0.04659498207885305,0.06290322580645161,3286,0.16236559139784945,0.24874551971326164,0.5888888888888889
17,37001,1694,70,1541,52,195,440,31,1694,1,0.04132231404958678,0.9096812278630461,0.030696576151121605,0.01829988193624557,1059,0.11511216056670602,0.2597402597402597,0.6251475796930342
18,37001,3476,1342,1836,220,778,533,78,3476,1,0.3860759493670886,0.5281933256616801,0.06329113924050633,0.02243958573072497,2165,0.2238204833141542,0.15333716915995396,0.6228423475258918
19,37001,5931,1310,4202,249,1354,1261,170,5931,1,0.2208733771707975,0.7084808632608329,0.041982802225594334,0.02866295734277525,3316,0.22829202495363346,0.2126117012308211,0.5590962738155454
20,37001,3118,255,2590,233,413,689,40,3118,1,0.081783194355356,0.8306606799230276,0.07472738935214882,0.012828736369467608,2016,0.13245670301475304,0.22097498396407952,0.6465683130211675
21,37001,4345,476,3126,626,686,1169,117,4345,1,0.1095512082853855,0.7194476409666283,0.14407364787111623,0.026927502876869965,2490,0.1578826237054085,0.26904487917146147,0.57307249712313
22,37001,2757,951,1223,480,408,181,103,2757,1,0.34494015233949943,0.4435981138919115,0.17410228509249184,0.03735944867609721,2168,0.14798694232861806,0.06565107000362713,0.7863619876677548
23,37001,2408,198,2080,72,396,738,58,2408,1,0.08222591362126246,0.8637873754152824,0.029900332225913623,0.02408637873754153,1274,0.1644518272425249,0.3064784053156146,0.5290697674418605
24,37001,3146,267,2486,335,342,784,58,3146,1,0.08486967577876668,0.7902097902097902,0.10648442466624285,0.018436109345200253,2020,0.10870947234583599,0.24920534011443102,0.642085187539733
25,37001,4661,519,3664,386,675,1028,92,4661,1,0.11134949581634843,0.7860974039905599,0.08281484659944217,0.019738253593649432,2958,0.14481870843166703,0.22055352928556105,0.634627762282772
26,37001,3292,503,2586,137,605,963,66,3292,1,0.15279465370595383,0.7855407047387606,0.041616038882138516,0.020048602673147023,1724,0.18377885783718104,0.2925273390036452,0.5236938031591738
27,37001,3307,149,3011,104,312,1029,43,3307,1,0.04505594194133656,0.9104928938615059,0.03144844269730874,0.013002721499848805,1966,0.09434532809192622,0.31115814938010283,0.5944965225279709
28,37001,1860,602,758,423,258,94,77,1860,1,0.32365591397849464,0.4075268817204301,0.22741935483870968,0.04139784946236559,1508,0.13870967741935483,0.05053763440860215,0.810752688172043
