,County,VAP,BVAP,WVAP,HVAP,EL12G_GV_D,EL12G_GV_R,OVAP,TOT_VOTES,factor,BVAP_pct,WVAP_pct,HVAP_pct,OVAP_pct,GOV12None,EL12G_GV_D_pct,EL12G_GV_R_pct,GOV12None_pct
108,37013,1615,159,1427,18,261,653,11,1615,1.0,0.09845201238390093,0.8835913312693499,0.011145510835913313,0.006811145510835914,701,0.16160990712074302,0.4043343653250774,0.4340557275541796
109,37013,1690,753,819,90,671,373,28,1690,1.0,0.4455621301775148,0.4846153846153846,0.05325443786982249,0.016568047337278107,646,0.3970414201183432,0.22071005917159764,0.38224852071005916
110,37013,841,274,545,13,288,315,9,841,1.0,0.3258026159334126,0.6480380499405469,0.015457788347205707,0.01070154577883472,238,0.34244946492271106,0.3745541022592152,0.28299643281807374
111,37013,1483,435,989,43,462,522,16,1483,1.0,0.2933243425488874,0.6668914362778152,0.02899527983816588,0.01078894133513149,499,0.3115306810519218,0.3519892110586649,0.33648010788941335
112,37013,957,59,854,33,99,514,11,957,1.0,0.06165099268547544,0.8923719958202717,0.034482758620689655,0.011494252873563218,344,0.10344827586206896,0.5370950888192267,0.3594566353187043
113,37013,1833,773,969,65,611,551,26,1833,1.0,0.4217130387343153,0.5286415711947627,0.03546099290780142,0.014184397163120567,671,0.3333333333333333,0.3006001091107474,0.36606655755591927
114,37013,1897,185,1670,15,406,1109,27,1897,1.0,0.09752240379546652,0.8803373748023194,0.00790722192936215,0.014232999472851872,382,0.2140221402214022,0.5846072746441751,0.20137058513442277
115,37013,2650,398,2059,139,440,1152,54,2650,1.0,0.150188679245283,0.7769811320754717,0.052452830188679245,0.020377358490566037,1058,0.1660377358490566,0.43471698113207546,0.3992452830188679
116,37013,1507,920,475,80,806,232,32,1507,1.0,0.6104844061048441,0.3151957531519575,0.05308560053085601,0.021234240212342402,469,0.5348374253483743,0.15394824153948242,0.3112143331121433
117,37013,4524,1004,3245,223,813,1512,52,4524,1.0,0.22192749778956675,0.7172855879752431,0.049292661361626876,0.011494252873563218,2199,0.1797082228116711,0.33421750663129973,0.4860742705570292
118,37013,1737,853,796,55,681,376,33,1737,1.0,0.491076568796776,0.45826137017846863,0.03166378814047208,0.018998272884283247,680,0.3920552677029361,0.21646516983304548,0.39147956246401844
119,37013,1392,457,812,111,322,497,12,1392,1.0,0.32830459770114945,0.5833333333333334,0.07974137931034483,0.008620689655172414,573,0.23132183908045978,0.35704022988505746,0.41163793103448276
120,37013,2571,624,1735,186,609,903,26,2571,1.0,0.2427071178529755,0.6748346946713341,0.07234539089848308,0.010112796577207312,1059,0.23687281213535588,0.35122520420070014,0.411901983663944
121,37013,1846,101,1617,114,190,955,14,1846,1.0,0.05471289274106175,0.8759479956663055,0.06175514626218852,0.007583965330444204,701,0.10292524377031419,0.5173347778981582,0.3797399783315276
122,37013,1190,428,737,10,327,340,15,1190,1.0,0.3596638655462185,0.619327731092437,0.008403361344537815,0.012605042016806723,523,0.2747899159663866,0.2857142857142857,0.4394957983193277
123,37013,1872,80,1742,23,325,1020,27,1872,1.0,0.042735042735042736,0.9305555555555556,0.012286324786324786,0.014423076923076924,527,0.1736111111111111,0.5448717948717948,0.281517094017094
124,37013,912,87,783,37,113,470,5,912,1.0,0.09539473684210527,0.8585526315789473,0.04057017543859649,0.005482456140350877,329,0.12390350877192982,0.5153508771929824,0.3607456140350877
125,37013,1616,119,1436,46,247,780,15,1616,1.0,0.07363861386138613,0.8886138613861386,0.028465346534653466,0.009282178217821782,589,0.15284653465346534,0.48267326732673266,0.36448019801980197
126,37013,1316,257,914,139,318,577,6,1316,1.0,0.1952887537993921,0.6945288753799392,0.10562310030395136,0.004559270516717325,421,0.24164133738601823,0.43844984802431614,0.31990881458966564
127,37015,1707,1096,585,16,777,294,10,1707,1.0,0.6420620972466315,0.3427065026362039,0.009373169302870533,0.005858230814294083,636,0.45518453427065025,0.17223198594024605,0.37258347978910367
128,37015,849,421,418,0,299,242,10,849,1.0,0.4958775029446408,0.4923439340400471,0.0,0.011778563015312132,308,0.35217903415783275,0.2850412249705536,0.3627797408716137
129,37015,986,470,493,8,297,326,15,986,1.0,0.4766734279918864,0.5,0.008113590263691683,0.015212981744421906,363,0.3012170385395537,0.3306288032454361,0.36815415821501013
130,37015,811,463,336,2,379,204,10,811,1.0,0.5709001233045623,0.41430332922318125,0.002466091245376079,0.012330456226880395,228,0.46732429099876693,0.25154130702836003,0.281134401972873
131,37015,764,24,728,1,66,413,11,764,1.0,0.031413612565445025,0.9528795811518325,0.0013089005235602095,0.014397905759162303,285,0.08638743455497382,0.5405759162303665,0.3730366492146597
132,37015,5703,3712,1775,58,2022,915,158,5703,1.0,0.650885498860249,0.31123969840434856,0.010170085919691391,0.02770471681571103,2766,0.3545502367175171,0.1604418726985797,0.4850078905839032
133,37015,983,578,386,7,378,173,12,983,1.0,0.5879959308240081,0.392675483214649,0.007121057985757884,0.012207527975584944,432,0.38453713123092575,0.17599186164801628,0.43947100712105797
134,37015,1025,778,213,26,540,112,8,1025,1.0,0.7590243902439024,0.20780487804878048,0.025365853658536587,0.007804878048780488,373,0.526829268292683,0.10926829268292683,0.36390243902439023
135,37015,1274,498,768,3,354,409,5,1274,1.0,0.39089481946624804,0.6028257456828885,0.002354788069073783,0.003924646781789639,511,0.2778649921507064,0.32103610675039246,0.4010989010989011
136,37015,1050,879,135,26,590,75,10,1050,1.0,0.8371428571428572,0.12857142857142856,0.024761904761904763,0.009523809523809525,385,0.5619047619047619,0.07142857142857142,0.36666666666666664
137,37015,1302,954,323,17,641,175,8,1302,1.0,0.7327188940092166,0.24807987711213517,0.013056835637480798,0.006144393241167435,486,0.4923195084485407,0.13440860215053763,0.37327188940092165
138,37015,392,335,52,4,244,27,1,392,1.0,0.8545918367346939,0.1326530612244898,0.01020408163265306,0.002551020408163265,121,0.6224489795918368,0.06887755102040816,0.3086734693877551
139,37017,1607,245,1312,22,323,673,28,1607,1.0,0.15245799626633477,0.8164281269446173,0.013690105787181083,0.017423771001866834,611,0.20099564405724954,0.4187927815805849,0.3802115743621655
140,37017,813,202,556,44,231,250,11,813,1.0,0.24846248462484624,0.6838868388683886,0.05412054120541206,0.013530135301353014,332,0.28413284132841327,0.3075030750307503,0.40836408364083643
141,37017,3006,660,2219,74,630,961,53,3006,1.0,0.21956087824351297,0.7381902860944777,0.024617431803060547,0.01763140385894877,1415,0.20958083832335328,0.31969394544244845,0.4707252162341983
142,37017,1838,460,1221,126,407,644,31,1838,1.0,0.250272034820457,0.6643090315560392,0.06855277475516866,0.016866158868335146,787,0.22143634385201305,0.35038084874863984,0.4281828073993471
143,37017,1414,608,703,68,415,348,35,1414,1.0,0.42998585572843,0.4971711456859972,0.04809052333804809,0.024752475247524754,651,0.29349363507779347,0.24611032531824611,0.4603960396039604
144,37017,1503,911,301,7,822,112,284,1503,1.0,0.6061210911510313,0.20026613439787092,0.004657351962741184,0.18895542248835662,569,0.5469061876247505,0.07451763140385895,0.37857618097139056
145,37017,1439,830,512,41,680,211,56,1439,1.0,0.5767894371091036,0.3558026407227241,0.02849200833912439,0.03891591382904795,548,0.47255038220986795,0.14662960389159138,0.38082001389854064
146,37017,1789,707,901,133,574,415,48,1789,1.0,0.3951928451648966,0.5036333147009503,0.07434320849636669,0.026830631637786474,800,0.3208496366685299,0.2319731693683622,0.4471771939631079
147,37017,739,132,550,47,108,227,10,739,1.0,0.17861975642760486,0.7442489851150202,0.06359945872801083,0.013531799729364006,404,0.14614343707713126,0.3071718538565629,0.5466847090663058
148,37017,1410,378,799,209,316,373,24,1410,1.0,0.2680851063829787,0.5666666666666667,0.14822695035460992,0.01702127659574468,721,0.22411347517730495,0.2645390070921986,0.5113475177304965
149,37017,551,178,339,23,184,151,11,551,1.0,0.32304900181488205,0.6152450090744102,0.041742286751361164,0.019963702359346643,216,0.3339382940108893,0.27404718693284935,0.39201451905626133
