,COUNTY,VAP,AMINVAP,PRES20D,PRES20R,OVAP,TOT_VOTES,factor,AMINVAP_pct,OVAP_pct,PRES20None,PRES20D_pct,PRES20R_pct,PRES20None_pct
0,Adams,1494,10,322,458,1484,1494,1.0,0.006693440428380187,0.9933065595716198,714,0.21552878179384202,0.30655957161981257,0.4779116465863454
1,Adams,50,0,9,16,50,50,1.0,0.0,1.0,25,0.18,0.32,0.5
2,Adams,1087,8,263,465,1079,1087,1.0,0.007359705611775529,0.9926402943882244,359,0.24195032198712052,0.42778288868445263,0.33026678932842685
3,Adams,859,4,190,358,855,859,1.0,0.004656577415599534,0.9953434225844005,311,0.22118742724097787,0.4167636786961583,0.3620488940628638
4,Adams,205,0,44,97,205,205,1.0,0.0,1.0,64,0.2146341463414634,0.47317073170731705,0.3121951219512195
5,Adams,1261,20,358,630,1241,1261,1.0,0.01586042823156225,0.9841395717684377,273,0.2839016653449643,0.49960348929421095,0.21649484536082475
6,Adams,885,1,184,377,884,885,1.0,0.0011299435028248588,0.9988700564971752,324,0.207909604519774,0.42598870056497173,0.36610169491525424
7,Adams,868,4,262,406,864,868,1.0,0.004608294930875576,0.9953917050691244,200,0.30184331797235026,0.46774193548387094,0.2304147465437788
8,Adams,256,1,35,132,255,256,1.0,0.00390625,0.99609375,89,0.13671875,0.515625,0.34765625
9,Adams,249,0,71,140,249,249,1.0,0.0,1.0,38,0.285140562248996,0.5622489959839357,0.15261044176706828
10,Adams,365,0,122,173,365,365,1.0,0.0,1.0,70,0.33424657534246577,0.473972602739726,0.1917808219178082
11,Adams,2060,60,174,351,2000,2060,1.0,0.02912621359223301,0.970873786407767,1535,0.08446601941747572,0.1703883495145631,0.7451456310679612
12,Adams,517,3,168,243,514,517,1.0,0.005802707930367505,0.9941972920696325,106,0.32495164410058025,0.4700193423597679,0.20502901353965183
13,Adams,1159,7,291,494,1152,1159,1.0,0.0060396893874029335,0.993960310612597,374,0.25107851596203623,0.4262295081967213,0.32269197584124243
14,Adams,1014,2,309,438,1012,1014,1.0,0.0019723865877712033,0.9980276134122288,267,0.3047337278106509,0.4319526627218935,0.26331360946745563
15,Adams,135,0,27,75,135,135,1.0,0.0,1.0,33,0.2,0.5555555555555556,0.24444444444444444
16,Adams,2379,8,849,1390,2371,2379,1.0,0.003362757461118117,0.9966372425388819,140,0.35687263556116017,0.5842791088692728,0.05884825556956705
17,Adams,1059,17,269,508,1042,1059,1.0,0.016052880075542966,0.983947119924457,282,0.25401322001888577,0.4796978281397545,0.26628895184135976
18,Adams,961,2,269,438,959,961,1.0,0.002081165452653486,0.9979188345473465,254,0.27991675338189387,0.4557752341311134,0.2643080124869927
19,Adams,591,1,113,173,590,591,1.0,0.001692047377326565,0.9983079526226735,305,0.19120135363790186,0.2927241962774958,0.5160744500846024
20,Ashland,2904,156,1259,749,2748,2904,1.0,0.05371900826446281,0.9462809917355371,896,0.4335399449035813,0.25792011019283745,0.3085399449035813
21,Ashland,3589,239,1401,769,3350,3589,1.0,0.06659236556143773,0.9334076344385622,1419,0.390359431596545,0.21426581220395655,0.39537475619949847
22,Ashland,580,7,173,170,573,580,1.0,0.01206896551724138,0.9879310344827587,237,0.2982758620689655,0.29310344827586204,0.4086206896551724
23,Ashland,338,0,65,191,338,338,1.0,0.0,1.0,82,0.19230769230769232,0.5650887573964497,0.24260355029585798
24,Ashland,448,14,152,159,434,448,1.0,0.03125,0.96875,137,0.3392857142857143,0.3549107142857143,0.30580357142857145
25,Ashland,290,0,75,147,290,290,1.0,0.0,1.0,68,0.25862068965517243,0.506896551724138,0.23448275862068965
26,Ashland,589,28,239,254,561,589,1.0,0.04753820033955857,0.9524617996604414,96,0.4057724957555178,0.4312393887945671,0.16298811544991512
27,Ashland,251,1,67,113,250,251,1.0,0.00398406374501992,0.9960159362549801,71,0.26693227091633465,0.450199203187251,0.28286852589641437
28,Ashland,558,6,116,249,552,558,1.0,0.010752688172043012,0.989247311827957,193,0.2078853046594982,0.44623655913978494,0.34587813620071683
29,Ashland,289,3,236,52,286,289,1.3031674208144797,0.010380622837370242,0.9896193771626297,1,0.8166089965397924,0.17993079584775087,0.0034602076124567475
30,Ashland,258,1,110,113,257,258,1.0,0.003875968992248062,0.9961240310077519,35,0.4263565891472868,0.437984496124031,0.13565891472868216
31,Ashland,388,1,158,175,387,388,1.0,0.002577319587628866,0.9974226804123711,55,0.4072164948453608,0.45103092783505155,0.14175257731958762
32,Ashland,125,0,34,64,125,125,1.0,0.0,1.0,27,0.272,0.512,0.216
33,Ashland,922,702,442,85,220,922,1.0,0.7613882863340564,0.2386117136659436,395,0.4793926247288503,0.09219088937093275,0.4284164859002169
