race,AG18D,AG18R,AG18None
WVAP,0.1201 (0.1084-0.1303),0.2744 (0.2595-0.2853),0.6055 (0.5897-0.6244)
OVAP,0.0958 (0.0241-0.185),0.0822 (0.0212-0.1731),0.822 (0.7002-0.9221)
