race,SEN16D,SEN16R,SEN16None
WVAP,0.1649 (0.152-0.176),0.3155 (0.3002-0.3265),0.5196 (0.5031-0.5391)
OVAP,0.1024 (0.0275-0.1968),0.0838 (0.0214-0.1792),0.8138 (0.6857-0.9143)
