race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.014 (0.0112-0.017),0.0021 (0.0012-0.0032),0.0042 (0.0026-0.0057),0.0008 (0.0003-0.0014),0.003 (0.0016-0.0045),0.9759 (0.9723-0.979)
BVAP,0.024 (0.0068-0.0505),0.0135 (0.0033-0.03),0.0177 (0.0048-0.0396),0.0117 (0.0031-0.0257),0.0162 (0.0044-0.0349),0.917 (0.8695-0.9515)
HVAP,0.0777 (0.0163-0.1626),0.0483 (0.0147-0.1042),0.0689 (0.0173-0.1452),0.0399 (0.0088-0.0858),0.0653 (0.0185-0.1411),0.6999 (0.5599-0.8163)
OVAP,0.2277 (0.0945-0.3754),0.0997 (0.043-0.1581),0.1344 (0.062-0.222),0.07 (0.0341-0.1074),0.1605 (0.0772-0.2439),0.3077 (0.161-0.4773)
