race,COMP18D,COMP18R,COMP18None
WVAP,0.1962 (0.1821-0.2073),0.1889 (0.1775-0.1976),0.6149 (0.5998-0.6323)
OVAP,0.0958 (0.0233-0.1912),0.0747 (0.0254-0.1485),0.8295 (0.7199-0.9211)
