race,GOV18D,GOV18R,GOV18None
WVAP,0.0631 (0.0548-0.0706),0.336 (0.3216-0.3467),0.601 (0.5877-0.6177)
OVAP,0.084 (0.0279-0.1583),0.0861 (0.0238-0.1801),0.8298 (0.7158-0.9191)
