race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0114 (0.0087-0.0142),0.0117 (0.0096-0.0137),0.0067 (0.0046-0.0091),0.9702 (0.9662-0.9739)
BVAP,0.0279 (0.0084-0.0587),0.0231 (0.0064-0.052),0.0208 (0.0047-0.0478),0.9282 (0.8756-0.9638)
HVAP,0.1022 (0.0312-0.2065),0.0901 (0.0299-0.1758),0.0922 (0.0267-0.1916),0.7155 (0.5584-0.842)
OVAP,0.2457 (0.1111-0.4002),0.1135 (0.0438-0.2155),0.2685 (0.1319-0.406),0.3723 (0.2087-0.5642)
