race,SEN18D,SEN18R,SEN18None
WVAP,0.1436 (0.1313-0.1536),0.2387 (0.2256-0.2483),0.6177 (0.6037-0.6351)
OVAP,0.1033 (0.036-0.194),0.0768 (0.022-0.1582),0.8199 (0.7049-0.9108)
