race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0156 (0.0126-0.0184),0.0136 (0.0112-0.0156),0.0107 (0.008-0.0132),0.9601 (0.9557-0.9648)
OVAP,0.0388 (0.0114-0.0751),0.0311 (0.0097-0.0623),0.0397 (0.0109-0.0815),0.8904 (0.827-0.9408)
