race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0326 (0.0277-0.0379),0.0005 (0.0002-0.0008),0.9669 (0.9617-0.9718)
BVAP,0.0463 (0.0136-0.098),0.0093 (0.0026-0.0202),0.9445 (0.8913-0.9793)
HVAP,0.1789 (0.052-0.3418),0.0452 (0.0138-0.0873),0.7759 (0.6098-0.9054)
OVAP,0.3988 (0.1685-0.6297),0.0241 (0.0077-0.0481),0.577 (0.3491-0.809)
