race,SEN18D,SEN18R,SEN18None
WVAP,0.1365 (0.1257-0.1466),0.2295 (0.2171-0.2402),0.6339 (0.6207-0.6498)
BVAP,0.0886 (0.0252-0.1765),0.0887 (0.0249-0.1782),0.8227 (0.7042-0.9118)
HVAP,0.2374 (0.0979-0.4364),0.2854 (0.0827-0.533),0.4773 (0.2221-0.7258)
OVAP,0.3899 (0.1284-0.6791),0.2575 (0.0701-0.4912),0.3526 (0.1145-0.6112)
