race,PRES12D,PRES12R,PRES12None
WVAP,0.1668 (0.1544-0.1767),0.3365 (0.3216-0.3467),0.4967 (0.4816-0.5152)
OVAP,0.097 (0.0313-0.1879),0.0844 (0.026-0.1733),0.8186 (0.6948-0.9113)
