race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0481 (0.0426-0.0528),0.0237 (0.0197-0.0274),0.9282 (0.9219-0.9351)
OVAP,0.0616 (0.0213-0.1198),0.0522 (0.0154-0.1005),0.8862 (0.8068-0.9451)
