race,AG14D,AG14R,AG14None
WVAP,0.0964 (0.0876-0.1042),0.2117 (0.2004-0.2202),0.6919 (0.6793-0.7058)
OVAP,0.0801 (0.0251-0.1528),0.0697 (0.0202-0.1446),0.8502 (0.7526-0.9311)
