race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0181 (0.0151-0.0207),0.0035 (0.0024-0.0045),0.0061 (0.0044-0.0078),0.0014 (0.0006-0.0024),0.0052 (0.0035-0.0068),0.9657 (0.9617-0.9699)
OVAP,0.0311 (0.0095-0.0619),0.021 (0.0077-0.0383),0.0281 (0.0096-0.0529),0.0222 (0.0093-0.0373),0.0286 (0.01-0.0539),0.869 (0.8121-0.9153)
