race,COMP18D,COMP18R,COMP18None
WVAP,0.1873 (0.1763-0.1975),0.1809 (0.1698-0.1907),0.6318 (0.6181-0.6469)
BVAP,0.0959 (0.0294-0.1842),0.0738 (0.0214-0.1525),0.8304 (0.7135-0.9221)
HVAP,0.245 (0.0797-0.4615),0.2871 (0.0916-0.5372),0.4678 (0.2208-0.731)
OVAP,0.3809 (0.1327-0.6433),0.2612 (0.0826-0.5332),0.3579 (0.1091-0.6523)
