race,COMP14D,COMP14R,COMP14None
WVAP,0.1464 (0.1362-0.1555),0.1735 (0.1626-0.1828),0.68 (0.6672-0.6949)
BVAP,0.0806 (0.0269-0.1602),0.0733 (0.0214-0.1525),0.8461 (0.7367-0.9292)
HVAP,0.2542 (0.0868-0.4682),0.276 (0.0935-0.5138),0.4698 (0.2088-0.7155)
OVAP,0.3905 (0.1402-0.6925),0.2608 (0.0835-0.5171),0.3487 (0.0988-0.6068)
