race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0397 (0.034-0.0449),0.0007 (0.0003-0.0012),0.9597 (0.9544-0.9653)
OVAP,0.0613 (0.0179-0.1207),0.0137 (0.0062-0.0231),0.925 (0.8657-0.9684)
