race,GOV14D,GOV14R,GOV14None
WVAP,0.0755 (0.0674-0.0825),0.2684 (0.2555-0.2779),0.656 (0.6435-0.6712)
OVAP,0.0756 (0.023-0.148),0.0792 (0.0257-0.1627),0.8452 (0.7399-0.9258)
