race,PRES16D,PRES16R,PRES16None
WVAP,0.1308 (0.1185-0.1409),0.3723 (0.3543-0.3841),0.4969 (0.4812-0.5182)
OVAP,0.103 (0.0359-0.1943),0.0884 (0.0244-0.193),0.8086 (0.6758-0.9071)
