race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0121 (0.0096-0.0149),0.0018 (0.0009-0.0031),0.0177 (0.0148-0.0207),0.9683 (0.9643-0.9722)
BVAP,0.0242 (0.0066-0.0546),0.0149 (0.0039-0.034),0.0295 (0.0069-0.0653),0.9314 (0.8825-0.9659)
HVAP,0.0936 (0.0262-0.1998),0.0665 (0.0133-0.1418),0.1197 (0.0396-0.2283),0.7203 (0.5673-0.8465)
OVAP,0.2633 (0.1178-0.3962),0.1291 (0.053-0.198),0.2083 (0.0734-0.3552),0.3993 (0.2303-0.5881)
