race,COMP14D,COMP14R,COMP14None
WVAP,0.1563 (0.1449-0.1654),0.1825 (0.1712-0.1904),0.6613 (0.6482-0.6772)
OVAP,0.0796 (0.02-0.1616),0.0654 (0.0196-0.1345),0.8551 (0.7477-0.9401)
