race,AG14D,AG14R,AG14None
WVAP,0.0881 (0.0806-0.0959),0.2026 (0.1911-0.2125),0.7093 (0.6967-0.7228)
BVAP,0.0722 (0.0182-0.1473),0.0769 (0.0211-0.1566),0.8509 (0.7474-0.9338)
HVAP,0.2081 (0.0606-0.4047),0.3044 (0.1005-0.5814),0.4874 (0.2317-0.7629)
OVAP,0.407 (0.1632-0.6527),0.2461 (0.0697-0.4927),0.3469 (0.1122-0.6161)
