race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0164 (0.0134-0.0192),0.0033 (0.002-0.0047),0.0215 (0.0183-0.0245),0.9587 (0.9545-0.9635)
OVAP,0.0381 (0.0131-0.0759),0.0306 (0.0106-0.0562),0.0387 (0.0119-0.0757),0.8926 (0.8329-0.9389)
