race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.2334 (0.2092-0.2538),0.7666 (0.7462-0.7908),0.3634 (0.3502-0.3748)
OVAP,0.6924 (0.409-0.9064),0.3076 (0.0936-0.591),0.1312 (0.0653-0.2122)
