race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.9902 (0.9826-0.996),0.0098 (0.004-0.0174),0.0345 (0.0295-0.0394)
BVAP,0.8269 (0.5707-0.9566),0.1731 (0.0434-0.4293),0.0461 (0.0178-0.0848)
HVAP,0.8555 (0.6422-0.9621),0.1445 (0.0379-0.3578),0.1577 (0.0622-0.2815)
OVAP,0.8713 (0.7005-0.9598),0.1287 (0.0402-0.2995),0.2272 (0.0897-0.3911)
