race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.3733 (0.3515-0.391),0.6267 (0.609-0.6485),0.5813 (0.562-0.5991)
OVAP,0.7125 (0.4513-0.9105),0.2875 (0.0895-0.5487),0.1994 (0.1003-0.3151)
