race,AG14D,AG14R,AG14Turnout
WVAP,0.3211 (0.2956-0.3419),0.6789 (0.6581-0.7044),0.3352 (0.3213-0.3471)
OVAP,0.692 (0.394-0.9005),0.308 (0.0995-0.606),0.1183 (0.0489-0.2019)
