race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.9869 (0.9768-0.9943),0.0131 (0.0057-0.0232),0.0413 (0.036-0.0459)
OVAP,0.7702 (0.6008-0.8794),0.2298 (0.1206-0.3992),0.0622 (0.0332-0.0999)
