race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.1964 (0.1721-0.2184),0.8036 (0.7816-0.8279),0.4735 (0.4565-0.489)
OVAP,0.7136 (0.4461-0.9102),0.2864 (0.0898-0.5539),0.175 (0.084-0.2841)
