race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.3872 (0.3302-0.4371),0.3758 (0.3311-0.4222),0.237 (0.1971-0.2754),0.0379 (0.0339-0.0418)
OVAP,0.5162 (0.2794-0.7303),0.2564 (0.0875-0.4692),0.2274 (0.0757-0.419),0.065 (0.0363-0.0986)
