race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.7066 (0.6602-0.7576),0.2934 (0.2424-0.3398),0.0774 (0.0698-0.0846)
OVAP,0.4319 (0.199-0.6676),0.5681 (0.3324-0.801),0.1067 (0.0584-0.1642)
