race,AG18D,AG18R,AG18Turnout
WVAP,0.3782 (0.3569-0.3961),0.6218 (0.6039-0.6431),0.4731 (0.4561-0.4877)
OVAP,0.7242 (0.4591-0.9186),0.2758 (0.0814-0.5409),0.1627 (0.082-0.2683)
