race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.3584 (0.3335-0.3825),0.6416 (0.6175-0.6665),0.3317 (0.3164-0.3462)
BVAP,0.6244 (0.2924-0.8824),0.3756 (0.1176-0.7076),0.1043 (0.0445-0.1844)
HVAP,0.6628 (0.3317-0.8984),0.3372 (0.1016-0.6683),0.4694 (0.2334-0.7642)
OVAP,0.6807 (0.3786-0.9019),0.3193 (0.0981-0.6214),0.5843 (0.3348-0.8242)
