race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.3823 (0.3619-0.399),0.6177 (0.601-0.6381),0.3592 (0.3471-0.3697)
OVAP,0.6443 (0.3541-0.8689),0.3557 (0.1311-0.6459),0.1109 (0.054-0.1837)
