race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.3241 (0.3023-0.3431),0.6759 (0.6569-0.6977),0.5946 (0.573-0.6117)
OVAP,0.7304 (0.4599-0.917),0.2696 (0.083-0.5401),0.2159 (0.1177-0.3424)
