race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.4788 (0.4567-0.5007),0.5212 (0.4993-0.5433),0.4382 (0.4221-0.4552)
BVAP,0.691 (0.3928-0.9318),0.309 (0.0682-0.6072),0.1425 (0.0612-0.2459)
HVAP,0.6615 (0.2943-0.8995),0.3385 (0.1005-0.7057),0.5256 (0.2585-0.8205)
OVAP,0.6742 (0.3421-0.9104),0.3258 (0.0896-0.6579),0.593 (0.3105-0.8296)
