race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDTurnout
WVAP,0.4912 (0.4379-0.5485),0.0632 (0.0369-0.088),0.1846 (0.1467-0.2217),0.0359 (0.0171-0.0579),0.225 (0.175-0.2762),0.038 (0.0339-0.042)
OVAP,0.2803 (0.1259-0.4252),0.1277 (0.0482-0.2325),0.1558 (0.0634-0.2693),0.1678 (0.0918-0.2606),0.2684 (0.1259-0.4102),0.1 (0.0721-0.1327)
