race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.3928 (0.3708-0.412),0.6072 (0.588-0.6292),0.4512 (0.4344-0.4662)
OVAP,0.771 (0.5383-0.9361),0.229 (0.0639-0.4617),0.1864 (0.0992-0.2857)
