race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.4546 (0.4069-0.4998),0.085 (0.0517-0.1231),0.4604 (0.4104-0.5101),0.0399 (0.0362-0.0435)
OVAP,0.2821 (0.0969-0.5126),0.3694 (0.1539-0.5792),0.3485 (0.1318-0.5901),0.0634 (0.0376-0.0935)
