race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.4876 (0.4672-0.5047),0.5124 (0.4953-0.5328),0.465 (0.4468-0.4798)
OVAP,0.7165 (0.433-0.9261),0.2835 (0.0739-0.567),0.1523 (0.0691-0.2581)
