race,AG14D,AG14R,AG14Turnout
WVAP,0.2869 (0.2579-0.3165),0.7131 (0.6835-0.7421),0.3066 (0.2927-0.319)
BVAP,0.6646 (0.3183-0.9112),0.3354 (0.0888-0.6817),0.1043 (0.0508-0.1806)
HVAP,0.6776 (0.376-0.9022),0.3224 (0.0978-0.624),0.5014 (0.2623-0.7917)
OVAP,0.7158 (0.4576-0.9039),0.2842 (0.0961-0.5424),0.6228 (0.329-0.8593)
