race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.4015 (0.3781-0.4208),0.5985 (0.5792-0.6219),0.4607 (0.4408-0.4763)
OVAP,0.7376 (0.4694-0.9197),0.2624 (0.0803-0.5306),0.1679 (0.0826-0.2948)
