race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.3923 (0.3714-0.4099),0.6077 (0.5901-0.6286),0.5781 (0.5566-0.5963)
OVAP,0.7664 (0.54-0.9208),0.2336 (0.0792-0.46),0.2262 (0.1194-0.3556)
