,COUNTY,VAP,NAME,WVAP,PRES16D,PRES16R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,PRES16None,PRES16D_pct,PRES16R_pct,PRES16None_pct
877,Baltimore City,1718,Baltimore City Precinct 12-008,988,549,30,730,1718,1.0,0.5750873108265425,0.42491268917345754,1139,0.31955762514551805,0.017462165308498253,0.6629802095459837
878,Baltimore City,1916,Baltimore City Precinct 12-010,382,489,24,1534,1916,1.0,0.19937369519832984,0.8006263048016702,1403,0.25521920668058456,0.012526096033402923,0.7322546972860126
882,Baltimore City,1139,Baltimore City Precinct 25-011,672,140,123,467,1139,1.0,0.5899912203687445,0.4100087796312555,876,0.12291483757682177,0.10798946444249341,0.7690956979806848
883,Baltimore City,2273,Baltimore City Precinct 25-012,1279,263,215,994,2273,1.0,0.5626924769027717,0.4373075230972283,1795,0.11570611526616806,0.09458864936207655,0.7897052353717554
884,Baltimore City,1483,Baltimore City Precinct 25-014,468,310,43,1015,1483,1.0,0.3155765340525961,0.6844234659474039,1130,0.20903573836817263,0.02899527983816588,0.7619689817936615
885,Baltimore City,1262,Baltimore City Precinct 25-013,750,162,100,512,1262,1.0,0.5942947702060222,0.40570522979397783,1000,0.12836767036450078,0.07923930269413629,0.7923930269413629
886,Baltimore City,1628,Baltimore City Precinct 25-015,701,291,76,927,1628,1.0,0.4305896805896806,0.5694103194103194,1261,0.17874692874692874,0.04668304668304668,0.7745700245700246
887,Baltimore City,2415,Baltimore City Precinct 25-016,1616,255,206,799,2415,1.0,0.6691511387163561,0.3308488612836439,1954,0.10559006211180125,0.08530020703933748,0.8091097308488613
888,Baltimore City,2673,Baltimore City Precinct 24-004,2448,793,390,225,2673,1.0,0.9158249158249159,0.08417508417508418,1490,0.2966704077815189,0.14590347923681257,0.5574261129816686
889,Baltimore City,878,Baltimore City Precinct 24-002,775,312,111,103,878,1.0,0.8826879271070615,0.11731207289293849,455,0.3553530751708428,0.1264236902050114,0.5182232346241458
890,Baltimore City,722,Baltimore City Precinct 24-001,632,266,97,90,722,1.0,0.8753462603878116,0.12465373961218837,359,0.3684210526315789,0.13434903047091412,0.49722991689750695
891,Baltimore City,1728,Baltimore City Precinct 24-003,1531,606,208,197,1728,1.0,0.8859953703703703,0.11400462962962964,914,0.3506944444444444,0.12037037037037036,0.5289351851851852
892,Baltimore City,1994,Baltimore City Precinct 03-003,1421,434,168,573,1994,1.0,0.7126379137412236,0.28736208625877635,1392,0.2176529588766299,0.08425275827482448,0.6980942828485457
893,Baltimore City,3017,Baltimore City Precinct 24-005,2786,1015,598,231,3017,1.0,0.9234338747099768,0.0765661252900232,1404,0.33642691415313225,0.19821014252568778,0.46536294332118
894,Baltimore City,2635,Baltimore City Precinct 02-003,2167,772,206,468,2635,1.0,0.8223908918406072,0.1776091081593928,1657,0.29297912713472485,0.07817836812144212,0.628842504743833
895,Baltimore City,2074,Baltimore City Precinct 02-002,1402,476,143,672,2074,1.0,0.6759884281581485,0.3240115718418515,1455,0.22950819672131148,0.06894889103182257,0.7015429122468659
896,Baltimore City,2117,Baltimore City Precinct 01-002,1706,523,140,411,2117,1.0,0.8058573452999528,0.19414265470004724,1454,0.24704770902220122,0.06613131790269249,0.6868209730751063
897,Baltimore City,1947,Baltimore City Precinct 01-003,1710,385,193,237,1947,1.0,0.8782742681047766,0.12172573189522343,1369,0.1977401129943503,0.09912686183872625,0.7031330251669234
898,Baltimore City,2617,Baltimore City Precinct 05-001,202,440,14,2415,2617,1.0,0.07718761941153993,0.92281238058846,2163,0.1681314482231563,0.005349636988918609,0.826518914787925
899,Baltimore City,658,Baltimore City Precinct 10-004,17,202,1,641,658,1.0,0.025835866261398176,0.9741641337386018,455,0.3069908814589666,0.001519756838905775,0.6914893617021277
900,Baltimore City,5665,Baltimore City Precinct 10-003,789,150,3,4876,5665,1.0,0.13927625772285968,0.8607237422771403,5512,0.0264783759929391,0.000529567519858782,0.9729920564872021
901,Baltimore City,836,Baltimore City Precinct 03-002,231,199,26,605,836,1.0,0.27631578947368424,0.7236842105263158,611,0.23803827751196172,0.03110047846889952,0.7308612440191388
913,Baltimore City,2765,Baltimore City Precinct 07-004,124,567,12,2641,2765,1.0,0.04484629294755877,0.9551537070524412,2186,0.20506329113924052,0.00433996383363472,0.7905967450271247
914,Baltimore City,3497,Baltimore City Precinct 26-010,1389,459,176,2108,3497,1.0,0.3971975979410924,0.6028024020589077,2862,0.13125536173863311,0.050328853302830996,0.8184157849585358
915,Baltimore City,923,Baltimore City Precinct 26-012,85,195,11,838,923,1.0,0.09209100758396534,0.9079089924160346,717,0.2112676056338028,0.011917659804983749,0.7768147345612134
916,Baltimore City,3245,Baltimore City Precinct 08-010,18,934,16,3227,3245,1.0,0.005546995377503852,0.9944530046224962,2295,0.2878274268104777,0.004930662557781202,0.7072419106317411
917,Baltimore City,577,Baltimore City Precinct 08-011,13,189,5,564,577,1.0,0.022530329289428077,0.9774696707105719,383,0.3275563258232236,0.008665511265164644,0.6637781629116117
918,Baltimore City,1998,Baltimore City Precinct 08-003,70,534,16,1928,1998,1.0,0.035035035035035036,0.964964964964965,1448,0.2672672672672673,0.008008008008008008,0.7247247247247247
919,Baltimore City,1675,Baltimore City Precinct 26-019,143,492,18,1532,1675,1.0,0.0853731343283582,0.9146268656716418,1165,0.2937313432835821,0.010746268656716417,0.6955223880597015
920,Baltimore City,783,Baltimore City Precinct 26-020,50,249,5,733,783,1.0,0.06385696040868455,0.9361430395913155,529,0.31800766283524906,0.006385696040868455,0.6756066411238825
921,Baltimore City,1709,Baltimore City Precinct 26-011,785,151,87,924,1709,1.0,0.4593329432416618,0.5406670567583383,1471,0.08835576360444705,0.05090696313633704,0.8607372732592159
922,Baltimore City,1355,Baltimore City Precinct 26-013,1074,121,216,281,1355,1.0,0.792619926199262,0.207380073800738,1018,0.08929889298892989,0.15940959409594097,0.7512915129151292
923,Baltimore City,339,Baltimore City Precinct 26-017,33,182,4,306,339,1.0,0.09734513274336283,0.9026548672566371,153,0.5368731563421829,0.011799410029498525,0.45132743362831856
924,Baltimore City,2928,Baltimore City Precinct 26-018,256,859,35,2672,2928,1.0,0.08743169398907104,0.912568306010929,2034,0.2933743169398907,0.011953551912568305,0.694672131147541
925,Baltimore City,1249,Baltimore City Precinct 26-016,74,351,6,1175,1249,1.0,0.059247397918334666,0.9407526020816653,892,0.28102481985588473,0.004803843074459567,0.7141713370696557
982,Baltimore City,2683,Baltimore City Precinct 26-024,242,563,18,2441,2683,1.0,0.09019754006708908,0.9098024599329109,2102,0.20983973164368244,0.006708907938874394,0.7834513604174431
983,Baltimore City,2299,Baltimore City Precinct 26-025,146,434,25,2153,2299,1.0,0.06350587211831231,0.9364941278816877,1840,0.18877772944758592,0.01087429317094389,0.8003479773814702
984,Baltimore City,1812,Baltimore City Precinct 26-026,482,437,52,1330,1812,1.0,0.26600441501103755,0.7339955849889624,1323,0.24116997792494482,0.02869757174392936,0.7301324503311258
985,Baltimore City,2585,Baltimore City Precinct 27-005,1273,708,181,1312,2585,1.0,0.49245647969052225,0.5075435203094778,1696,0.27388781431334625,0.0700193423597679,0.6560928433268859
986,Baltimore City,3355,Baltimore City Precinct 27-006,959,877,129,2396,3355,1.0,0.28584202682563337,0.7141579731743666,2349,0.26140089418777945,0.03845007451564829,0.7001490312965722
987,Baltimore City,780,Baltimore City Precinct 27-019,33,228,8,747,780,1.0,0.04230769230769231,0.9576923076923077,544,0.2923076923076923,0.010256410256410256,0.6974358974358974
988,Baltimore City,2289,Baltimore City Precinct 27-015,400,664,64,1889,2289,1.0,0.17474879860200962,0.8252512013979904,1561,0.290083005679336,0.027959807776321538,0.6819571865443425
992,Baltimore City,2647,Baltimore City Precinct 27-014,1453,657,283,1194,2647,1.0,0.5489233094068757,0.4510766905931243,1707,0.24820551567812618,0.10691348696637704,0.6448809973554968
993,Baltimore City,3409,Baltimore City Precinct 27-013,915,819,144,2494,3409,1.0,0.26840715752420063,0.7315928424757994,2446,0.2402464065708419,0.042241126430038134,0.71751246699912
994,Baltimore City,1492,Baltimore City Precinct 27-009,843,453,152,649,1492,1.0,0.5650134048257373,0.43498659517426275,887,0.30361930294906164,0.10187667560321716,0.5945040214477212
995,Baltimore City,762,Baltimore City Precinct 27-012,550,149,107,212,762,1.0,0.7217847769028871,0.2782152230971129,506,0.19553805774278216,0.14041994750656167,0.6640419947506562
1014,Baltimore City,751,Baltimore City Precinct 27-037,547,225,62,204,751,1.0,0.7283621837549934,0.27163781624500666,464,0.2996005326231691,0.08255659121171771,0.6178428761651131
1015,Baltimore City,1727,Baltimore City Precinct 27-038,993,419,55,734,1727,1.0,0.57498552403011,0.42501447596989,1253,0.24261725535610887,0.03184713375796178,0.7255356108859293
1016,Baltimore City,1669,Baltimore City Precinct 27-042,1261,573,150,408,1669,1.0,0.7555422408627921,0.2444577591372079,946,0.3433193529059317,0.08987417615338526,0.566806470940683
1017,Baltimore City,1155,Baltimore City Precinct 27-044,1034,471,93,121,1155,1.0,0.8952380952380953,0.10476190476190476,591,0.4077922077922078,0.08051948051948052,0.5116883116883116
1018,Baltimore City,1487,Baltimore City Precinct 27-040,1289,514,182,198,1487,1.0,0.8668459986550101,0.13315400134498992,791,0.3456624075319435,0.12239408204438466,0.5319435104236718
1019,Baltimore City,742,Baltimore City Precinct 27-039,645,345,93,97,742,1.0,0.8692722371967655,0.1307277628032345,304,0.46495956873315364,0.12533692722371967,0.40970350404312667
1020,Baltimore City,1929,Baltimore City Precinct 27-041,1446,549,183,483,1929,1.0,0.749611197511664,0.25038880248833595,1197,0.2846034214618974,0.09486780715396578,0.6205287713841369
1036,Baltimore City,1338,Baltimore City Precinct 09-010,254,480,9,1084,1338,1.0,0.1898355754857997,0.8101644245142003,849,0.35874439461883406,0.006726457399103139,0.6345291479820628
1037,Baltimore City,1402,Baltimore City Precinct 09-003,246,483,17,1156,1402,1.0,0.1754636233951498,0.8245363766048502,902,0.34450784593437944,0.012125534950071327,0.6433666191155493
1038,Baltimore City,1166,Baltimore City Precinct 09-002,133,309,12,1033,1166,1.0,0.11406518010291596,0.885934819897084,845,0.26500857632933106,0.010291595197255575,0.7246998284734134
1039,Baltimore City,1002,Baltimore City Precinct 09-009,76,293,15,926,1002,1.0,0.07584830339321358,0.9241516966067864,694,0.29241516966067865,0.014970059880239521,0.6926147704590818
1040,Baltimore City,1958,Baltimore City Precinct 09-004,484,610,27,1474,1958,1.0,0.24719101123595505,0.7528089887640449,1321,0.3115423901940756,0.013789581205311542,0.6746680286006129
1041,Baltimore City,1717,Baltimore City Precinct 09-005,367,445,21,1350,1717,1.0,0.21374490390215492,0.786255096097845,1251,0.25917297612114154,0.0122306348281887,0.7285963890506698
1042,Baltimore City,782,Baltimore City Precinct 09-001,41,210,2,741,782,1.0,0.052429667519181586,0.9475703324808185,570,0.26854219948849106,0.0025575447570332483,0.7289002557544757
1043,Baltimore City,970,Baltimore City Precinct 27-036,32,291,6,938,970,1.0,0.032989690721649485,0.9670103092783505,673,0.3,0.006185567010309278,0.6938144329896907
1044,Baltimore City,3261,Baltimore City Precinct 27-035,98,600,21,3163,3261,1.0,0.03005213124808341,0.9699478687519166,2640,0.18399264029438822,0.006439742410303588,0.8095676172953082
1045,Baltimore City,1481,Baltimore City Precinct 27-026,265,185,13,1216,1481,1.0,0.17893315327481432,0.8210668467251857,1283,0.12491559756920999,0.008777852802160702,0.8663065496286293
1046,Baltimore City,1722,Baltimore City Precinct 27-027,33,374,7,1689,1722,1.0,0.01916376306620209,0.980836236933798,1341,0.21718931475029035,0.0040650406504065045,0.7787456445993032
1047,Baltimore City,1372,Baltimore City Precinct 27-028,32,323,7,1340,1372,1.0,0.023323615160349854,0.9766763848396501,1042,0.23542274052478135,0.00510204081632653,0.7594752186588921
1048,Baltimore City,858,Baltimore City Precinct 27-029,10,281,6,848,858,1.0,0.011655011655011656,0.9883449883449883,571,0.3275058275058275,0.006993006993006993,0.6655011655011654
1049,Baltimore City,1643,Baltimore City Precinct 09-008,18,462,15,1625,1643,1.0,0.010955569080949483,0.9890444309190505,1166,0.28119293974437004,0.009129640900791236,0.7096774193548387
1050,Baltimore City,1933,Baltimore City Precinct 09-006,142,581,17,1791,1933,1.0,0.0734609415416451,0.9265390584583549,1335,0.30056906363166064,0.008794619762027936,0.6906363166063114
1051,Baltimore City,1819,Baltimore City Precinct 09-007,152,612,17,1667,1819,1.0,0.08356239692138538,0.9164376030786147,1190,0.3364485981308411,0.009345794392523364,0.6542056074766355
1052,Baltimore City,1296,Baltimore City Precinct 27-025,35,332,17,1261,1296,1.0,0.02700617283950617,0.9729938271604939,947,0.25617283950617287,0.013117283950617283,0.7307098765432098
1053,Baltimore City,1047,Baltimore City Precinct 27-024,138,158,5,909,1047,1.0,0.1318051575931232,0.8681948424068768,884,0.15090735434574976,0.004775549188156638,0.8443170964660937
1054,Baltimore City,588,Baltimore City Precinct 27-023,30,202,8,558,588,1.0,0.05102040816326531,0.9489795918367347,378,0.3435374149659864,0.013605442176870748,0.6428571428571429
1055,Baltimore City,1632,Baltimore City Precinct 27-034,121,488,10,1511,1632,1.0,0.0741421568627451,0.9258578431372549,1134,0.29901960784313725,0.006127450980392157,0.6948529411764706
1056,Baltimore City,2316,Baltimore City Precinct 27-033,564,675,49,1752,2316,1.0,0.24352331606217617,0.7564766839378239,1592,0.2914507772020725,0.021157167530224525,0.687392055267703
1057,Baltimore City,2778,Baltimore City Precinct 27-032,1010,729,86,1768,2778,1.0,0.36357091432685384,0.6364290856731462,1963,0.26241900647948163,0.03095752339812815,0.7066234701223902
1060,Baltimore City,1703,Baltimore City Precinct 27-030,58,406,7,1645,1703,1.0,0.03405754550792719,0.9659424544920728,1290,0.2384028185554903,0.004110393423370522,0.7574867880211391
1061,Baltimore City,2334,Baltimore City Precinct 27-031,141,681,29,2193,2334,1.0,0.060411311053984576,0.9395886889460154,1624,0.2917737789203085,0.012425021422450729,0.6958011996572407
1062,Baltimore City,2547,Baltimore City Precinct 27-022,207,739,24,2340,2547,1.0,0.0812720848056537,0.9187279151943463,1784,0.2901452689438555,0.009422850412249705,0.7004318806438948
1063,Baltimore City,2765,Baltimore City Precinct 27-021,234,771,25,2531,2765,1.0,0.08462929475587704,0.915370705244123,1969,0.27884267631103077,0.009041591320072333,0.7121157323688969
1064,Baltimore City,2623,Baltimore City Precinct 27-020,377,622,32,2246,2623,1.0,0.14372855508959206,0.856271444910408,1969,0.2371330537552421,0.012199771254288982,0.750667174990469
