,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN12D,SEN12R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN12None,SEN12D_pct,SEN12R_pct,SEN12None_pct
556,Baltimore City,1090,Baltimore City Precinct 26-028,142,914,11,344,10,23,1090,1,0.13027522935779817,0.8385321100917431,0.010091743119266056,0.02110091743119266,736,0.3155963302752294,0.009174311926605505,0.6752293577981652
557,Baltimore City,1429,Baltimore City Precinct 26-027,322,1033,31,427,34,43,1429,1,0.22533240027991602,0.7228831350594822,0.021693491952414275,0.030090972708187544,968,0.2988103568929321,0.023792862141357594,0.6773967809657103
558,Baltimore City,1467,Baltimore City Precinct 27-007,472,907,31,416,47,57,1467,1,0.321745057941377,0.6182685753237901,0.021131561008861623,0.03885480572597137,1004,0.283571915473756,0.032038173142467624,0.6843899113837764
559,Baltimore City,985,Baltimore City Precinct 26-030,419,511,29,280,39,26,985,1,0.42538071065989846,0.5187817258883248,0.029441624365482234,0.026395939086294416,666,0.28426395939086296,0.03959390862944162,0.6761421319796954
574,Baltimore City,502,Baltimore City Precinct 26-001,417,33,35,73,24,17,502,1,0.8306772908366534,0.06573705179282868,0.0697211155378486,0.03386454183266932,405,0.1454183266932271,0.04780876494023904,0.8067729083665338
575,Baltimore City,2426,Baltimore City Precinct 26-002,1008,789,539,473,48,90,2426,1,0.4154987633965375,0.32522671063478975,0.22217642209398186,0.03709810387469085,1905,0.19497114591920858,0.01978565539983512,0.7852431986809563
576,Baltimore City,2095,Baltimore City Precinct 26-003,1404,210,361,246,107,120,2095,1,0.6701670644391408,0.10023866348448687,0.17231503579952268,0.057279236276849645,1742,0.11742243436754177,0.051073985680190934,0.8315035799522673
581,Baltimore City,782,Baltimore City Precinct 26-005,514,71,133,102,46,64,782,1,0.6572890025575447,0.0907928388746803,0.170076726342711,0.08184143222506395,634,0.13043478260869565,0.058823529411764705,0.8107416879795396
582,Baltimore City,1623,Baltimore City Precinct 26-004,1098,134,293,205,72,98,1623,1,0.6765249537892791,0.08256315465187923,0.18052988293284042,0.06038200862600123,1346,0.12630930375847196,0.04436229205175601,0.829328404189772
583,Baltimore City,1434,Baltimore City Precinct 26-007,799,101,490,174,43,44,1434,1,0.5571827057182706,0.07043235704323571,0.3417015341701534,0.030683403068340307,1217,0.12133891213389121,0.0299860529986053,0.8486750348675035
584,Baltimore City,1562,Baltimore City Precinct 26-014,1050,136,339,157,41,37,1562,1,0.6722151088348272,0.08706786171574904,0.21702944942381563,0.023687580025608196,1364,0.10051216389244558,0.026248399487836107,0.8732394366197183
585,Baltimore City,1463,Baltimore City Precinct 26-015,116,1277,26,500,17,44,1463,1,0.07928913192071087,0.872863978127136,0.0177717019822283,0.03007518796992481,946,0.3417634996582365,0.01161995898838004,0.6466165413533834
586,Baltimore City,4697,Baltimore City Precinct 26-029,597,3916,95,1218,37,89,4697,1,0.12710240579093038,0.8337236533957846,0.02022567596338088,0.018948264849904195,3442,0.2593144560357675,0.007877368533106239,0.7328081754311262
805,Baltimore City,3265,Baltimore City Precinct 25-005,822,1696,585,694,74,162,3265,1,0.2517611026033691,0.519448698315467,0.17917304747320062,0.04961715160796325,2497,0.21255742725880553,0.022664624808575805,0.7647779479326187
807,Baltimore City,2660,Baltimore City Precinct 25-008,74,2484,65,882,22,37,2660,1,0.027819548872180452,0.9338345864661655,0.02443609022556391,0.013909774436090226,1756,0.33157894736842103,0.008270676691729323,0.6601503759398496
808,Baltimore City,1089,Baltimore City Precinct 25-009,9,1064,7,528,7,9,1089,1,0.008264462809917356,0.9770431588613406,0.006427915518824609,0.008264462809917356,554,0.48484848484848486,0.006427915518824609,0.5087235996326905
809,Baltimore City,1595,Baltimore City Precinct 25-010,46,1486,25,584,8,38,1595,1,0.02884012539184953,0.9316614420062695,0.01567398119122257,0.023824451410658306,1003,0.36614420062695924,0.005015673981191223,0.6288401253918495
810,Baltimore City,3555,Baltimore City Precinct 25-003,2570,746,104,484,203,135,3555,1,0.7229254571026723,0.20984528832630098,0.029254571026722926,0.0379746835443038,2868,0.13614627285513362,0.05710267229254571,0.8067510548523207
811,Baltimore City,929,Baltimore City Precinct 20-009,527,341,34,172,28,27,929,1,0.5672766415500539,0.36706135629709363,0.03659849300322928,0.02906350914962325,729,0.18514531754574812,0.030139935414424113,0.7847147470398278
