,COUNTY,VAP,NAME,WVAP,SEN16D,SEN16R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN16None,SEN16D_pct,SEN16R_pct,SEN16None_pct
877,Baltimore City,1718,Baltimore City Precinct 12-008,988,462,51,730,1718,1.0,0.5750873108265425,0.42491268917345754,1205,0.2689173457508731,0.029685681024447033,0.7013969732246799
878,Baltimore City,1916,Baltimore City Precinct 12-010,382,442,27,1534,1916,1.0,0.19937369519832984,0.8006263048016702,1447,0.23068893528183715,0.014091858037578288,0.7552192066805845
882,Baltimore City,1139,Baltimore City Precinct 25-011,672,159,105,467,1139,1.0,0.5899912203687445,0.4100087796312555,875,0.1395961369622476,0.09218612818261633,0.7682177348551361
883,Baltimore City,2273,Baltimore City Precinct 25-012,1279,282,193,994,2273,1.0,0.5626924769027717,0.4373075230972283,1798,0.12406511218653761,0.08490981082270127,0.7910250769907611
884,Baltimore City,1483,Baltimore City Precinct 25-014,468,288,56,1015,1483,1.0,0.3155765340525961,0.6844234659474039,1139,0.19420094403236682,0.037761294672960216,0.7680377612946729
885,Baltimore City,1262,Baltimore City Precinct 25-013,750,170,88,512,1262,1.0,0.5942947702060222,0.40570522979397783,1004,0.1347068145800317,0.06973058637083994,0.7955625990491284
886,Baltimore City,1628,Baltimore City Precinct 25-015,701,296,62,927,1628,1.0,0.4305896805896806,0.5694103194103194,1270,0.18181818181818182,0.038083538083538086,0.7800982800982801
887,Baltimore City,2415,Baltimore City Precinct 25-016,1616,306,153,799,2415,1.0,0.6691511387163561,0.3308488612836439,1956,0.1267080745341615,0.06335403726708075,0.8099378881987578
888,Baltimore City,2673,Baltimore City Precinct 24-004,2448,754,497,225,2673,1.0,0.9158249158249159,0.08417508417508418,1422,0.28208005985783763,0.18593340815563036,0.531986531986532
889,Baltimore City,878,Baltimore City Precinct 24-002,775,276,168,103,878,1.0,0.8826879271070615,0.11731207289293849,434,0.3143507972665148,0.19134396355353075,0.49430523917995445
890,Baltimore City,722,Baltimore City Precinct 24-001,632,251,133,90,722,1.0,0.8753462603878116,0.12465373961218837,338,0.3476454293628809,0.18421052631578946,0.46814404432132967
891,Baltimore City,1728,Baltimore City Precinct 24-003,1531,555,308,197,1728,1.0,0.8859953703703703,0.11400462962962964,865,0.3211805555555556,0.17824074074074073,0.5005787037037037
892,Baltimore City,1994,Baltimore City Precinct 03-003,1421,396,224,573,1994,1.0,0.7126379137412236,0.28736208625877635,1374,0.19859578736208625,0.1123370110330993,0.6890672016048145
893,Baltimore City,3017,Baltimore City Precinct 24-005,2786,923,749,231,3017,1.0,0.9234338747099768,0.0765661252900232,1345,0.3059330460722572,0.2482598607888631,0.4458070931388797
894,Baltimore City,2635,Baltimore City Precinct 02-003,2167,684,300,468,2635,1.0,0.8223908918406072,0.1776091081593928,1651,0.25958254269449715,0.11385199240986717,0.6265654648956357
895,Baltimore City,2074,Baltimore City Precinct 02-002,1402,445,188,672,2074,1.0,0.6759884281581485,0.3240115718418515,1441,0.21456123432979748,0.09064609450337512,0.6947926711668274
896,Baltimore City,2117,Baltimore City Precinct 01-002,1706,480,199,411,2117,1.0,0.8058573452999528,0.19414265470004724,1438,0.22673594709494568,0.09400094473311289,0.6792631081719415
897,Baltimore City,1947,Baltimore City Precinct 01-003,1710,365,251,237,1947,1.0,0.8782742681047766,0.12172573189522343,1331,0.18746789933230612,0.12891628145865433,0.6836158192090396
898,Baltimore City,2617,Baltimore City Precinct 05-001,202,409,17,2415,2617,1.0,0.07718761941153993,0.92281238058846,2191,0.15628582346197936,0.006495987772258311,0.8372181887657624
899,Baltimore City,658,Baltimore City Precinct 10-004,17,189,6,641,658,1.0,0.025835866261398176,0.9741641337386018,463,0.2872340425531915,0.00911854103343465,0.7036474164133738
900,Baltimore City,5665,Baltimore City Precinct 10-003,789,139,11,4876,5665,1.0,0.13927625772285968,0.8607237422771403,5515,0.024536628420123566,0.001941747572815534,0.9735216240070609
901,Baltimore City,836,Baltimore City Precinct 03-002,231,177,29,605,836,1.0,0.27631578947368424,0.7236842105263158,630,0.2117224880382775,0.034688995215311005,0.7535885167464115
913,Baltimore City,2765,Baltimore City Precinct 07-004,124,527,30,2641,2765,1.0,0.04484629294755877,0.9551537070524412,2208,0.1905967450271248,0.0108499095840868,0.7985533453887884
914,Baltimore City,3497,Baltimore City Precinct 26-010,1389,452,182,2108,3497,1.0,0.3971975979410924,0.6028024020589077,2863,0.12925364598227052,0.05204460966542751,0.8187017443523019
915,Baltimore City,923,Baltimore City Precinct 26-012,85,182,13,838,923,1.0,0.09209100758396534,0.9079089924160346,728,0.19718309859154928,0.014084507042253521,0.7887323943661971
916,Baltimore City,3245,Baltimore City Precinct 08-010,18,856,29,3227,3245,1.0,0.005546995377503852,0.9944530046224962,2360,0.2637904468412943,0.008936825885978428,0.7272727272727273
917,Baltimore City,577,Baltimore City Precinct 08-011,13,176,9,564,577,1.0,0.022530329289428077,0.9774696707105719,392,0.3050259965337955,0.01559792027729636,0.6793760831889082
918,Baltimore City,1998,Baltimore City Precinct 08-003,70,516,24,1928,1998,1.0,0.035035035035035036,0.964964964964965,1458,0.25825825825825827,0.012012012012012012,0.7297297297297297
919,Baltimore City,1675,Baltimore City Precinct 26-019,143,483,25,1532,1675,1.0,0.0853731343283582,0.9146268656716418,1167,0.2883582089552239,0.014925373134328358,0.6967164179104478
920,Baltimore City,783,Baltimore City Precinct 26-020,50,244,9,733,783,1.0,0.06385696040868455,0.9361430395913155,530,0.3116219667943806,0.011494252873563218,0.6768837803320562
921,Baltimore City,1709,Baltimore City Precinct 26-011,785,166,70,924,1709,1.0,0.4593329432416618,0.5406670567583383,1473,0.09713282621416033,0.04095962551199532,0.8619075482738443
922,Baltimore City,1355,Baltimore City Precinct 26-013,1074,149,175,281,1355,1.0,0.792619926199262,0.207380073800738,1031,0.1099630996309963,0.12915129151291513,0.7608856088560886
923,Baltimore City,339,Baltimore City Precinct 26-017,33,171,10,306,339,1.0,0.09734513274336283,0.9026548672566371,158,0.504424778761062,0.029498525073746312,0.46607669616519176
924,Baltimore City,2928,Baltimore City Precinct 26-018,256,826,32,2672,2928,1.0,0.08743169398907104,0.912568306010929,2070,0.28210382513661203,0.01092896174863388,0.7069672131147541
925,Baltimore City,1249,Baltimore City Precinct 26-016,74,342,7,1175,1249,1.0,0.059247397918334666,0.9407526020816653,900,0.27381905524419536,0.005604483586869495,0.7205764611689351
982,Baltimore City,2683,Baltimore City Precinct 26-024,242,546,20,2441,2683,1.0,0.09019754006708908,0.9098024599329109,2117,0.20350354081252328,0.007454342154304882,0.7890421170331718
983,Baltimore City,2299,Baltimore City Precinct 26-025,146,414,31,2153,2299,1.0,0.06350587211831231,0.9364941278816877,1854,0.1800782949108308,0.013484123531970421,0.8064375815571988
984,Baltimore City,1812,Baltimore City Precinct 26-026,482,432,57,1330,1812,1.0,0.26600441501103755,0.7339955849889624,1323,0.23841059602649006,0.03145695364238411,0.7301324503311258
985,Baltimore City,2585,Baltimore City Precinct 27-005,1273,686,196,1312,2585,1.0,0.49245647969052225,0.5075435203094778,1703,0.2653771760154739,0.07582205029013539,0.6588007736943907
986,Baltimore City,3355,Baltimore City Precinct 27-006,959,856,132,2396,3355,1.0,0.28584202682563337,0.7141579731743666,2367,0.2551415797317437,0.03934426229508197,0.7055141579731744
987,Baltimore City,780,Baltimore City Precinct 27-019,33,219,10,747,780,1.0,0.04230769230769231,0.9576923076923077,551,0.28076923076923077,0.01282051282051282,0.7064102564102565
988,Baltimore City,2289,Baltimore City Precinct 27-015,400,657,65,1889,2289,1.0,0.17474879860200962,0.8252512013979904,1567,0.2870249017038008,0.02839667977282656,0.6845784185233726
992,Baltimore City,2647,Baltimore City Precinct 27-014,1453,662,273,1194,2647,1.0,0.5489233094068757,0.4510766905931243,1712,0.2500944465432565,0.10313562523611636,0.6467699282206272
993,Baltimore City,3409,Baltimore City Precinct 27-013,915,791,183,2494,3409,1.0,0.26840715752420063,0.7315928424757994,2435,0.23203285420944558,0.05368143150484013,0.7142857142857143
994,Baltimore City,1492,Baltimore City Precinct 27-009,843,445,154,649,1492,1.0,0.5650134048257373,0.43498659517426275,893,0.2982573726541555,0.1032171581769437,0.5985254691689008
995,Baltimore City,762,Baltimore City Precinct 27-012,550,151,104,212,762,1.0,0.7217847769028871,0.2782152230971129,507,0.19816272965879264,0.13648293963254593,0.6653543307086615
1014,Baltimore City,751,Baltimore City Precinct 27-037,547,215,83,204,751,1.0,0.7283621837549934,0.27163781624500666,453,0.2862849533954727,0.11051930758988016,0.6031957390146472
1015,Baltimore City,1727,Baltimore City Precinct 27-038,993,381,74,734,1727,1.0,0.57498552403011,0.42501447596989,1272,0.22061378112333527,0.042848870874348584,0.7365373480023162
1016,Baltimore City,1669,Baltimore City Precinct 27-042,1261,520,241,408,1669,1.0,0.7555422408627921,0.2444577591372079,908,0.3115638106650689,0.14439784301977232,0.5440383463151588
1017,Baltimore City,1155,Baltimore City Precinct 27-044,1034,453,137,121,1155,1.0,0.8952380952380953,0.10476190476190476,565,0.3922077922077922,0.11861471861471862,0.48917748917748916
1018,Baltimore City,1487,Baltimore City Precinct 27-040,1289,457,266,198,1487,1.0,0.8668459986550101,0.13315400134498992,764,0.3073301950235373,0.1788836583725622,0.5137861466039004
1019,Baltimore City,742,Baltimore City Precinct 27-039,645,329,137,97,742,1.0,0.8692722371967655,0.1307277628032345,276,0.44339622641509435,0.18463611859838275,0.3719676549865229
1020,Baltimore City,1929,Baltimore City Precinct 27-041,1446,531,224,483,1929,1.0,0.749611197511664,0.25038880248833595,1174,0.27527216174183516,0.11612234318299637,0.6086054950751685
1036,Baltimore City,1338,Baltimore City Precinct 09-010,254,423,19,1084,1338,1.0,0.1898355754857997,0.8101644245142003,896,0.31614349775784756,0.014200298953662182,0.6696562032884903
1037,Baltimore City,1402,Baltimore City Precinct 09-003,246,437,24,1156,1402,1.0,0.1754636233951498,0.8245363766048502,941,0.31169757489301,0.017118402282453638,0.6711840228245364
1038,Baltimore City,1166,Baltimore City Precinct 09-002,133,298,15,1033,1166,1.0,0.11406518010291596,0.885934819897084,853,0.2555746140651801,0.012864493996569469,0.7315608919382505
1039,Baltimore City,1002,Baltimore City Precinct 09-009,76,276,20,926,1002,1.0,0.07584830339321358,0.9241516966067864,706,0.2754491017964072,0.01996007984031936,0.7045908183632734
1040,Baltimore City,1958,Baltimore City Precinct 09-004,484,562,34,1474,1958,1.0,0.24719101123595505,0.7528089887640449,1362,0.2870275791624106,0.017364657814096015,0.6956077630234934
1041,Baltimore City,1717,Baltimore City Precinct 09-005,367,420,30,1350,1717,1.0,0.21374490390215492,0.786255096097845,1267,0.24461269656377402,0.017472335468841003,0.737914967967385
1042,Baltimore City,782,Baltimore City Precinct 09-001,41,203,7,741,782,1.0,0.052429667519181586,0.9475703324808185,572,0.2595907928388747,0.008951406649616368,0.731457800511509
1043,Baltimore City,970,Baltimore City Precinct 27-036,32,285,12,938,970,1.0,0.032989690721649485,0.9670103092783505,673,0.29381443298969073,0.012371134020618556,0.6938144329896907
1044,Baltimore City,3261,Baltimore City Precinct 27-035,98,561,29,3163,3261,1.0,0.03005213124808341,0.9699478687519166,2671,0.17203311867525298,0.008892977614228765,0.8190739037105182
1045,Baltimore City,1481,Baltimore City Precinct 27-026,265,189,13,1216,1481,1.0,0.17893315327481432,0.8210668467251857,1279,0.12761647535449022,0.008777852802160702,0.8636056718433491
1046,Baltimore City,1722,Baltimore City Precinct 27-027,33,359,13,1689,1722,1.0,0.01916376306620209,0.980836236933798,1350,0.20847851335656215,0.007549361207897794,0.7839721254355401
1047,Baltimore City,1372,Baltimore City Precinct 27-028,32,315,10,1340,1372,1.0,0.023323615160349854,0.9766763848396501,1047,0.22959183673469388,0.007288629737609329,0.7631195335276968
1048,Baltimore City,858,Baltimore City Precinct 27-029,10,272,9,848,858,1.0,0.011655011655011656,0.9883449883449883,577,0.317016317016317,0.01048951048951049,0.6724941724941725
1049,Baltimore City,1643,Baltimore City Precinct 09-008,18,445,19,1625,1643,1.0,0.010955569080949483,0.9890444309190505,1179,0.27084601339014,0.011564211807668898,0.7175897748021911
1050,Baltimore City,1933,Baltimore City Precinct 09-006,142,571,27,1791,1933,1.0,0.0734609415416451,0.9265390584583549,1335,0.29539575788929123,0.01396792550439731,0.6906363166063114
1051,Baltimore City,1819,Baltimore City Precinct 09-007,152,573,17,1667,1819,1.0,0.08356239692138538,0.9164376030786147,1229,0.31500824628916985,0.009345794392523364,0.6756459593183067
1052,Baltimore City,1296,Baltimore City Precinct 27-025,35,318,16,1261,1296,1.0,0.02700617283950617,0.9729938271604939,962,0.24537037037037038,0.012345679012345678,0.7422839506172839
1053,Baltimore City,1047,Baltimore City Precinct 27-024,138,146,9,909,1047,1.0,0.1318051575931232,0.8681948424068768,892,0.13944603629417382,0.008595988538681949,0.8519579751671442
1054,Baltimore City,588,Baltimore City Precinct 27-023,30,196,7,558,588,1.0,0.05102040816326531,0.9489795918367347,385,0.3333333333333333,0.011904761904761904,0.6547619047619048
1055,Baltimore City,1632,Baltimore City Precinct 27-034,121,461,24,1511,1632,1.0,0.0741421568627451,0.9258578431372549,1147,0.2824754901960784,0.014705882352941176,0.7028186274509803
1056,Baltimore City,2316,Baltimore City Precinct 27-033,564,637,73,1752,2316,1.0,0.24352331606217617,0.7564766839378239,1606,0.2750431778929188,0.03151986183074266,0.6934369602763385
1057,Baltimore City,2778,Baltimore City Precinct 27-032,1010,696,104,1768,2778,1.0,0.36357091432685384,0.6364290856731462,1978,0.2505399568034557,0.037437005039596835,0.7120230381569475
1060,Baltimore City,1703,Baltimore City Precinct 27-030,58,393,9,1645,1703,1.0,0.03405754550792719,0.9659424544920728,1301,0.23076923076923078,0.005284791544333529,0.7639459776864357
1061,Baltimore City,2334,Baltimore City Precinct 27-031,141,668,37,2193,2334,1.0,0.060411311053984576,0.9395886889460154,1629,0.286203941730934,0.015852613538988862,0.6979434447300771
1062,Baltimore City,2547,Baltimore City Precinct 27-022,207,720,30,2340,2547,1.0,0.0812720848056537,0.9187279151943463,1797,0.2826855123674912,0.011778563015312132,0.7055359246171967
1063,Baltimore City,2765,Baltimore City Precinct 27-021,234,744,34,2531,2765,1.0,0.08462929475587704,0.915370705244123,1987,0.26907775768535264,0.012296564195298372,0.718625678119349
1064,Baltimore City,2623,Baltimore City Precinct 27-020,377,602,43,2246,2623,1.0,0.14372855508959206,0.856271444910408,1978,0.22950819672131148,0.01639344262295082,0.7540983606557377
1066,Baltimore City,1108,Baltimore City Precinct 08-001,657,28,6,451,1108,1.0,0.5929602888086642,0.40703971119133575,1074,0.02527075812274368,0.005415162454873646,0.9693140794223827
1067,Baltimore City,1540,Baltimore City Precinct 08-002,183,448,30,1357,1540,1.0,0.11883116883116883,0.8811688311688312,1062,0.2909090909090909,0.01948051948051948,0.6896103896103896
1068,Baltimore City,2756,Baltimore City Precinct 26-021,263,862,55,2493,2756,1.0,0.09542815674891146,0.9045718432510885,1839,0.3127721335268505,0.01995645863570392,0.6672714078374455
1069,Baltimore City,813,Baltimore City Precinct 26-022,102,215,18,711,813,1.0,0.12546125461254612,0.8745387453874539,580,0.2644526445264453,0.02214022140221402,0.7134071340713407
1070,Baltimore City,586,Baltimore City Precinct 27-002,406,244,72,180,586,1.0,0.6928327645051194,0.30716723549488056,270,0.41638225255972694,0.12286689419795221,0.46075085324232085
1071,Baltimore City,2370,Baltimore City Precinct 27-001,734,579,104,1636,2370,1.0,0.309704641350211,0.6902953586497891,1687,0.24430379746835443,0.04388185654008439,0.7118143459915611
1072,Baltimore City,3583,Baltimore City Precinct 27-018,801,533,99,2782,3583,1.0,0.22355567959810216,0.7764443204018978,2951,0.14875802400223276,0.027630477253698018,0.8236114987440692
